pongo_abelii,homo_sapiens
23533,84818,2000
ENSPPYG00000020939,ENSG00000231145,61.9048
ENSPPYG00000020937,ENSG00000138068,51.4124
ENSPPYG00000020935,ENSG00000150722,48.0392
ENSPPYG00000020933,ENSG00000255738,10.7143
ENSPPYG00000020932,ENSG00000264886,49.7942
ENSPPYG00000020930,ENSG00000138068,51.3889
ENSPPYG00000020928,ENSG00000173933,48.8327
ENSPPYG00000020926,ENSG00000261236,47.5066
ENSPPYG00000020924,ENSG00000163157,48.8536
ENSPPYG00000020922,ENSG00000138068,56.2963
ENSPPYG00000020920,ENSG00000156931,51.6129
ENSPPYG00000020920,ENSG00000138068,57.037
ENSPPYG00000020918,ENSG00000135241,31.6742
ENSPPYG00000020916,ENSG00000156931,57.3099
ENSPPYG00000020914,ENSG00000143442,55.9322
ENSPPYG00000020912,ENSG00000138449,49.2063
ENSPPYG00000020910,ENSG00000261456,9.98498
ENSPPYG00000020908,ENSG00000260199,48.6772
ENSPPYG00000020906,ENSG00000008282,48.3883
ENSPPYG00000020904,ENSG00000135655,48.4848
ENSPPYG00000020902,ENSG00000113966,47.9622
ENSPPYG00000020900,ENSG00000105865,49.1217
ENSPPYG00000020898,ENSG00000166148,48.9164
ENSPPYG00000020896,ENSG00000213953,60.2151
ENSPPYG00000020894,ENSG00000260119,48.3333
ENSPPYG00000020892,ENSG00000159352,48.7885
ENSPPYG00000020890,ENSG00000263079,45.488
ENSPPYG00000020888,ENSG00000263079,46.9613
ENSPPYG00000020886,ENSG00000260789,46.746
ENSPPYG00000020884,ENSG00000260789,47.4576
ENSPPYG00000020884,ENSG00000260873,47.8193
ENSPPYG00000020882,ENSG00000261042,48.5149
ENSPPYG00000020882,ENSG00000263079,48.0808
ENSPPYG00000020880,ENSG00000260716,47.4805
ENSPPYG00000020878,ENSG00000175215,49.0637
ENSPPYG00000020876,ENSG00000173020,48.0838
ENSPPYG00000020876,ENSG00000261587,47.554
ENSPPYG00000020876,ENSG00000138068,50.211
ENSPPYG00000020874,ENSG00000115415,48.58
ENSPPYG00000020874,ENSG00000138386,48.9533
ENSPPYG00000020870,ENSG00000175182,48.4594
ENSPPYG00000020868,ENSG00000196154,48.2906
ENSPPYG00000020866,ENSG00000260376,48.9646
ENSPPYG00000020866,ENSG00000104825,48.8706
ENSPPYG00000020864,ENSG00000262972,46.8193
ENSPPYG00000020862,ENSG00000259919,47.4466
ENSPPYG00000020860,ENSG00000261297,47.1728
ENSPPYG00000020858,ENSG00000172508,48.5917
ENSPPYG00000020858,ENSG00000091129,47.8619
ENSPPYG00000020858,ENSG00000091129,47.8238
ENSPPYG00000020856,ENSG00000263079,47.4576
ENSPPYG00000020856,ENSG00000263079,48.0843
ENSPPYG00000020854,ENSG00000261201,48.0306
ENSPPYG00000020852,ENSG00000261539,47.2574
ENSPPYG00000020850,ENSG00000196420,47.9503
ENSPPYG00000020850,ENSG00000143442,48.8243
ENSPPYG00000020848,ENSG00000175505,47.0481
ENSPPYG00000020846,ENSG00000145012,48.3066
ENSPPYG00000020844,ENSG00000173992,47.8134
ENSPPYG00000020842,ENSG00000261201,46.8354
ENSPPYG00000020840,ENSG00000261694,48.004
ENSPPYG00000020838,ENSG00000228804,48.9362
ENSPPYG00000020836,ENSG00000175215,48.0833
ENSPPYG00000020834,ENSG00000163157,49.0081
ENSPPYG00000020832,ENSG00000187238,49.8498
ENSPPYG00000020830,ENSG00000260164,48.254
ENSPPYG00000020828,ENSG00000265969,49.0196
ENSPPYG00000020825,ENSG00000172613,48.218
ENSPPYG00000020823,ENSG00000163157,47.4638
ENSPPYG00000020821,ENSG00000163207,48.708
ENSPPYG00000020819,ENSG00000238035,47.703
ENSPPYG00000020817,ENSG00000172932,49.1394
ENSPPYG00000020817,ENSG00000260119,49.1344
ENSPPYG00000020815,ENSG00000064933,48.8449
ENSPPYG00000020815,ENSG00000064933,49.0066
ENSPPYG00000020813,ENSG00000183735,48.8235
ENSPPYG00000020811,ENSG00000260164,48.1132
ENSPPYG00000020809,ENSG00000197938,49.3827
ENSPPYG00000020803,ENSG00000263163,48.8235
ENSPPYG00000020801,ENSG00000196151,49.0753
ENSPPYG00000020799,ENSG00000260334,48.9583
ENSPPYG00000020797,ENSG00000262684,48.6532
ENSPPYG00000020797,ENSG00000055332,48.8438
ENSPPYG00000020795,ENSG00000143409,49.409
ENSPPYG00000020793,ENSG00000143375,49.4553
ENSPPYG00000020791,ENSG00000264886,48.1953
ENSPPYG00000020789,ENSG00000261125,50.1425
ENSPPYG00000020783,ENSG00000262972,47.4453
ENSPPYG00000020781,ENSG00000064933,48.426
ENSPPYG00000020779,ENSG00000232382,48.8456
ENSPPYG00000020779,ENSG00000198130,48.847
ENSPPYG00000020777,ENSG00000138386,48.594
ENSPPYG00000020775,ENSG00000080819,48.603
ENSPPYG00000020773,ENSG00000143416,48.622
ENSPPYG00000020771,ENSG00000196151,49.8
ENSPPYG00000020769,ENSG00000135241,49.3753
ENSPPYG00000020767,ENSG00000156931,51.3158
ENSPPYG00000020765,ENSG00000182389,49.2485
ENSPPYG00000020765,ENSG00000182389,49.2233
ENSPPYG00000020763,ENSG00000182389,49.2362
ENSPPYG00000020763,ENSG00000154175,48.8934
ENSPPYG00000020761,ENSG00000091140,48.9814
ENSPPYG00000020761,ENSG00000118600,48.7965
ENSPPYG00000020761,ENSG00000118600,49.023
ENSPPYG00000020759,ENSG00000143889,48.708
ENSPPYG00000020759,ENSG00000136536,48.6594
ENSPPYG00000020757,ENSG00000162980,49.295
ENSPPYG00000020755,ENSG00000151689,48.8603
ENSPPYG00000020753,ENSG00000080822,49.1329
ENSPPYG00000020751,ENSG00000187238,46.8468
ENSPPYG00000020749,ENSG00000263255,46.5639
ENSPPYG00000020747,ENSG00000182134,48.9349
ENSPPYG00000020747,ENSG00000198130,48.6572
ENSPPYG00000020745,ENSG00000213953,55.5556
ENSPPYG00000020743,ENSG00000138068,53.8462
ENSPPYG00000020741,ENSG00000151689,46.7919
ENSPPYG00000020739,ENSG00000172155,49.0196
ENSPPYG00000020737,ENSG00000173715,49.1124
ENSPPYG00000020735,ENSG00000187699,48.6698
ENSPPYG00000020733,ENSG00000135655,48.2496
ENSPPYG00000020731,ENSG00000075790,48.4105
ENSPPYG00000020729,ENSG00000196151,48.8626
ENSPPYG00000020729,ENSG00000115252,48.8115
ENSPPYG00000020727,ENSG00000266093,48.6772
ENSPPYG00000020725,ENSG00000262742,48.816
ENSPPYG00000020723,ENSG00000262942,48.7646
ENSPPYG00000020721,ENSG00000196578,43.949
ENSPPYG00000020719,ENSG00000203786,49.1256
ENSPPYG00000020719,ENSG00000049323,49.2239
ENSPPYG00000020717,ENSG00000173715,48.4634
ENSPPYG00000020715,ENSG00000159377,49.435
ENSPPYG00000020713,ENSG00000262739,47.479
ENSPPYG00000020711,ENSG00000260596,48.745
