pongo_abelii,macaca_mulatta
23533,35261,2000
ENSPPYG00000020939,ENSMMUG00000032533,54.7619
ENSPPYG00000020937,ENSMMUG00000032547,51.4124
ENSPPYG00000020935,ENSMMUG00000032389,3.43137
ENSPPYG00000020933,ENSMMUG00000002333,13.3929
ENSPPYG00000020932,ENSMMUG00000001114,48.5597
ENSPPYG00000020930,ENSMMUG00000032529,50
ENSPPYG00000020928,ENSMMUG00000013937,36.4786
ENSPPYG00000020926,ENSMMUG00000032378,39.2388
ENSPPYG00000020924,ENSMMUG00000020044,7.76014
ENSPPYG00000020922,ENSMMUG00000015878,2.96296
ENSPPYG00000020920,ENSMMUG00000004658,51.6129
ENSPPYG00000020920,ENSMMUG00000018480,48.8889
ENSPPYG00000020918,ENSMMUG00000013327,48.366
ENSPPYG00000020916,ENSMMUG00000032529,50.8772
ENSPPYG00000020914,ENSMMUG00000015878,51.4124
ENSPPYG00000020912,ENSMMUG00000009012,48.4127
ENSPPYG00000020910,ENSMMUG00000012738,48.4234
ENSPPYG00000020908,ENSMMUG00000032318,22.5397
ENSPPYG00000020906,ENSMMUG00000012849,48.1197
ENSPPYG00000020904,ENSMMUG00000019573,48.3531
ENSPPYG00000020902,ENSMMUG00000009482,3.3668
ENSPPYG00000020900,ENSMMUG00000032446,7.21455
ENSPPYG00000020898,ENSMMUG00000010471,48.7616
ENSPPYG00000020896,ENSMMUG00000032533,55.914
ENSPPYG00000020894,ENSMMUG00000018066,50
ENSPPYG00000020892,ENSMMUG00000032327,48.5265
ENSPPYG00000020890,ENSMMUG00000017405,41.2523
ENSPPYG00000020888,ENSMMUG00000017405,45.6722
ENSPPYG00000020886,ENSMMUG00000009295,46.8254
ENSPPYG00000020884,ENSMMUG00000013179,47.4576
ENSPPYG00000020884,ENSMMUG00000009012,11.9938
ENSPPYG00000020882,ENSMMUG00000009015,7.79165
ENSPPYG00000020882,ENSMMUG00000009015,22.6263
ENSPPYG00000020880,ENSMMUG00000005507,10.8956
ENSPPYG00000020878,ENSMMUG00000013935,48.3895
ENSPPYG00000020876,ENSMMUG00000005498,13.8922
ENSPPYG00000020876,ENSMMUG00000005498,25.0284
ENSPPYG00000020876,ENSMMUG00000032540,49.789
ENSPPYG00000020874,ENSMMUG00000032387,6.57698
ENSPPYG00000020874,ENSMMUG00000032387,6.76329
ENSPPYG00000020870,ENSMMUG00000013667,15.1821
ENSPPYG00000020868,ENSMMUG00000015702,49.1453
ENSPPYG00000020866,ENSMMUG00000018704,13.5605
ENSPPYG00000020866,ENSMMUG00000018704,16.3587
ENSPPYG00000020864,ENSMMUG00000022138,47.0738
ENSPPYG00000020862,ENSMMUG00000000320,25.6267
ENSPPYG00000020860,ENSMMUG00000000323,26.0577
ENSPPYG00000020858,ENSMMUG00000003379,4.01419
ENSPPYG00000020858,ENSMMUG00000003379,23.3997
ENSPPYG00000020858,ENSMMUG00000003379,23.1423
ENSPPYG00000020856,ENSMMUG00000032498,48.2109
ENSPPYG00000020856,ENSMMUG00000032498,48.0843
ENSPPYG00000020854,ENSMMUG00000003372,16.5785
ENSPPYG00000020852,ENSMMUG00000018435,47.3511
ENSPPYG00000020850,ENSMMUG00000005065,49.441
ENSPPYG00000020850,ENSMMUG00000006378,48.8243
ENSPPYG00000020848,ENSMMUG00000010585,7.72025
ENSPPYG00000020846,ENSMMUG00000032447,48.1283
ENSPPYG00000020844,ENSMMUG00000013415,48.105
ENSPPYG00000020842,ENSMMUG00000012739,23.3474
ENSPPYG00000020840,ENSMMUG00000032486,48.6028
ENSPPYG00000020838,ENSMMUG00000009032,48.3452
ENSPPYG00000020836,ENSMMUG00000013590,48.0833
ENSPPYG00000020834,ENSMMUG00000013176,15.5033
ENSPPYG00000020832,ENSMMUG00000013970,48.9489
ENSPPYG00000020830,ENSMMUG00000032318,8.57143
ENSPPYG00000020828,ENSMMUG00000001540,27.6538
ENSPPYG00000020825,ENSMMUG00000032318,17.1908
ENSPPYG00000020823,ENSMMUG00000001001,47.2826
ENSPPYG00000020821,ENSMMUG00000022771,17.3127
ENSPPYG00000020819,ENSMMUG00000001620,8.54701
ENSPPYG00000020817,ENSMMUG00000016465,49.2255
ENSPPYG00000020817,ENSMMUG00000016465,49.1922
ENSPPYG00000020815,ENSMMUG00000016607,37.2937
ENSPPYG00000020815,ENSMMUG00000016607,37.362
ENSPPYG00000020813,ENSMMUG00000032498,49.0196
ENSPPYG00000020811,ENSMMUG00000032318,20.7547
ENSPPYG00000020809,ENSMMUG00000013415,49.0028
ENSPPYG00000020803,ENSMMUG00000032498,49.0196
ENSPPYG00000020801,ENSMMUG00000000671,32.3871
ENSPPYG00000020799,ENSMMUG00000004548,49.1319
ENSPPYG00000020797,ENSMMUG00000015814,6.34119
ENSPPYG00000020797,ENSMMUG00000015814,12.8032
ENSPPYG00000020795,ENSMMUG00000009719,44.7203
ENSPPYG00000020793,ENSMMUG00000032326,7.84314
ENSPPYG00000020791,ENSMMUG00000004438,5.73248
ENSPPYG00000020789,ENSMMUG00000032507,50.7123
ENSPPYG00000020783,ENSMMUG00000015881,28.1022
ENSPPYG00000020781,ENSMMUG00000007234,1.05914
ENSPPYG00000020779,ENSMMUG00000020064,10.3896
ENSPPYG00000020779,ENSMMUG00000012384,49.4759
ENSPPYG00000020777,ENSMMUG00000012484,7.99211
ENSPPYG00000020775,ENSMMUG00000012849,48.4866
ENSPPYG00000020773,ENSMMUG00000005605,4.06824
ENSPPYG00000020771,ENSMMUG00000032510,49.35
ENSPPYG00000020769,ENSMMUG00000012777,49.5002
ENSPPYG00000020767,ENSMMUG00000009012,48.2456
ENSPPYG00000020765,ENSMMUG00000006450,22.9885
ENSPPYG00000020765,ENSMMUG00000006450,23.4798
ENSPPYG00000020763,ENSMMUG00000013753,49.4696
ENSPPYG00000020763,ENSMMUG00000010169,49.2453
ENSPPYG00000020761,ENSMMUG00000007922,7.30735
ENSPPYG00000020761,ENSMMUG00000007922,6.47702
ENSPPYG00000020761,ENSMMUG00000007922,6.07903
ENSPPYG00000020759,ENSMMUG00000011271,2.62705
ENSPPYG00000020759,ENSMMUG00000011271,5.2515
ENSPPYG00000020757,ENSMMUG00000002706,6.17597
ENSPPYG00000020755,ENSMMUG00000021984,6.64024
ENSPPYG00000020753,ENSMMUG00000021984,15.7996
ENSPPYG00000020751,ENSMMUG00000032420,47.1471
ENSPPYG00000020749,ENSMMUG00000008108,13.6802
ENSPPYG00000020747,ENSMMUG00000018717,13.1467
ENSPPYG00000020747,ENSMMUG00000001114,48.1833
ENSPPYG00000020745,ENSMMUG00000032533,55.5556
ENSPPYG00000020743,ENSMMUG00000018480,50.641
ENSPPYG00000020741,ENSMMUG00000022138,10.3286
ENSPPYG00000020739,ENSMMUG00000021258,4.16667
ENSPPYG00000020737,ENSMMUG00000013607,48.5207
ENSPPYG00000020735,ENSMMUG00000008256,48.8263
ENSPPYG00000020733,ENSMMUG00000021984,48.7062
ENSPPYG00000020731,ENSMMUG00000032341,14.5322
ENSPPYG00000020729,ENSMMUG00000009622,17.6777
ENSPPYG00000020729,ENSMMUG00000009622,5.36208
ENSPPYG00000020727,ENSMMUG00000004198,2.24868
ENSPPYG00000020725,ENSMMUG00000032342,48.4517
ENSPPYG00000020723,ENSMMUG00000003479,6.38695
ENSPPYG00000020721,ENSMMUG00000013213,47.0276
ENSPPYG00000020719,ENSMMUG00000011154,3.14119
ENSPPYG00000020719,ENSMMUG00000011154,4.61936
ENSPPYG00000020717,ENSMMUG00000001001,39.7163
ENSPPYG00000020715,ENSMMUG00000008386,1.60075
ENSPPYG00000020713,ENSMMUG00000013937,44.958
ENSPPYG00000020711,ENSMMUG00000008785,11.0944
ENSPPYG00000020709,ENSMMUG00000020700,2.92398
