homo_sapiens,pan_troglodytes
84818,19384,2000
ENSG00000259662,ENSPTRG00000041651,46.2366
ENSG00000258865,ENSPTRG00000040525,46.8852
ENSG00000261933,ENSPTRG00000041720,48.3871
ENSG00000255738,ENSPTRG00000014143,48.0226
ENSG00000227268,ENSPTRG00000028792,48.6034
ENSG00000263250,ENSPTRG00000034540,47.4217
ENSG00000224420,ENSPTRG00000031314,47.4026
ENSG00000226894,ENSPTRG00000031030,47.7987
ENSG00000258664,ENSPTRG00000019965,50
ENSG00000258518,ENSPTRG00000020082,46.6667
ENSG00000259741,ENSPTRG00000018975,49.092
ENSG00000265969,ENSPTRG00000034540,48.5075
ENSG00000262355,ENSPTRG00000000017,48.2011
ENSG00000262972,ENSPTRG00000007626,44.7917
ENSG00000263079,ENSPTRG00000003172,46.1369
ENSG00000264568,ENSPTRG00000020011,49.2832
ENSG00000266326,ENSPTRG00000016685,49.0111
ENSG00000266093,ENSPTRG00000007713,48.8215
ENSG00000264886,ENSPTRG00000021728,48.8722
ENSG00000198888,ENSPTRG00000042362,49.1632
ENSG00000198763,ENSPTRG00000003245,50.1919
ENSG00000198804,ENSPTRG00000023120,49.2218
ENSG00000198712,ENSPTRG00000019963,49.4152
ENSG00000228253,ENSPTRG00000041011,47.8261
ENSG00000198899,ENSPTRG00000021659,49.9266
ENSG00000198938,ENSPTRG00000040212,49.4898
ENSG00000198840,ENSPTRG00000040862,48.8439
ENSG00000212907,ENSPTRG00000013903,48.4848
ENSG00000198886,ENSPTRG00000018905,50
ENSG00000198786,ENSPTRG00000009893,50.5519
ENSG00000198695,ENSPTRG00000031446,49.3333
ENSG00000198727,ENSPTRG00000028736,49.0798
ENSG00000162980,ENSPTRG00000020019,48.3665
ENSG00000162980,ENSPTRG00000019004,47.8888
ENSG00000162980,ENSPTRG00000019004,47.956
ENSG00000175182,ENSPTRG00000007557,46.5918
ENSG00000175182,ENSPTRG00000024233,48.4976
ENSG00000175182,ENSPTRG00000014153,48.3271
ENSG00000175182,ENSPTRG00000007626,47.8185
ENSG00000175182,ENSPTRG00000000023,47.2906
ENSG00000175182,ENSPTRG00000014077,46.9993
ENSG00000175182,ENSPTRG00000007616,46.6281
ENSG00000175182,ENSPTRG00000018865,48.8986
ENSG00000182389,ENSPTRG00000017038,48.7334
ENSG00000182389,ENSPTRG00000005701,49.1963
ENSG00000182389,ENSPTRG00000017054,48.8767
ENSG00000182389,ENSPTRG00000016725,48.9269
ENSG00000182389,ENSPTRG00000007702,48.8865
ENSG00000182389,ENSPTRG00000042501,48.4218
ENSG00000182389,ENSPTRG00000028731,48.542
ENSG00000182389,ENSPTRG00000038881,49.4253
ENSG00000182389,ENSPTRG00000017038,48.7647
ENSG00000114859,ENSPTRG00000034081,46.079
ENSG00000114859,ENSPTRG00000034081,45.4973
ENSG00000114859,ENSPTRG00000034081,43.01
ENSG00000114859,ENSPTRG00000034081,42.9787
ENSG00000114859,ENSPTRG00000034081,45.6013
ENSG00000115145,ENSPTRG00000016973,48.1319
ENSG00000157827,ENSPTRG00000013793,48.4305
ENSG00000157827,ENSPTRG00000013821,48.6294
ENSG00000163882,ENSPTRG00000020049,48.1132
ENSG00000163882,ENSPTRG00000039445,47.7273
ENSG00000163882,ENSPTRG00000000144,48.3903
ENSG00000163882,ENSPTRG00000042377,47.9951
ENSG00000163882,ENSPTRG00000004511,48.8352
ENSG00000163882,ENSPTRG00000017013,48.4511
ENSG00000163882,ENSPTRG00000028731,48.5461
ENSG00000163882,ENSPTRG00000021853,49.2027
ENSG00000163882,ENSPTRG00000029472,49.3301
ENSG00000196504,ENSPTRG00000018957,49.0184
ENSG00000196504,ENSPTRG00000017086,48.2327
ENSG00000196504,ENSPTRG00000019106,48.2263
ENSG00000196504,ENSPTRG00000000124,48.1633
ENSG00000090534,ENSPTRG00000000017,48.6792
ENSG00000090534,ENSPTRG00000000151,47.6412
ENSG00000090534,ENSPTRG00000042084,49.0283
ENSG00000090539,ENSPTRG00000018865,46.9185
ENSG00000090539,ENSPTRG00000018865,47.3109
ENSG00000090539,ENSPTRG00000003107,47.0681
ENSG00000090539,ENSPTRG00000000081,46.3277
ENSG00000090539,ENSPTRG00000023886,47.8707
ENSG00000177917,ENSPTRG00000003383,49.4131
ENSG00000159377,ENSPTRG00000022526,48.9627
ENSG00000177519,ENSPTRG00000003184,48.9463
ENSG00000144278,ENSPTRG00000005727,48.8439
ENSG00000144278,ENSPTRG00000031314,49.2157
ENSG00000144278,ENSPTRG00000019050,48.5527
ENSG00000144278,ENSPTRG00000013809,49.1749
ENSG00000144278,ENSPTRG00000031254,49.6212
ENSG00000144278,ENSPTRG00000028817,49.1018
ENSG00000143442,ENSPTRG00000020009,49.7724
ENSG00000143442,ENSPTRG00000021802,50
ENSG00000143442,ENSPTRG00000020009,49.8513
ENSG00000143442,ENSPTRG00000014060,49.5533
ENSG00000143442,ENSPTRG00000013811,49.5357
ENSG00000143442,ENSPTRG00000014655,49.322
ENSG00000143442,ENSPTRG00000042362,49.2097
ENSG00000143442,ENSPTRG00000000276,48.7273
ENSG00000143442,ENSPTRG00000028774,48.2935
ENSG00000143442,ENSPTRG00000029128,43.7628
ENSG00000143442,ENSPTRG00000041367,51.7588
ENSG00000143442,ENSPTRG00000022503,50.1239
ENSG00000143442,ENSPTRG00000000104,49.0039
ENSG00000143375,ENSPTRG00000033746,48.0496
ENSG00000143375,ENSPTRG00000016923,48.0475
ENSG00000143375,ENSPTRG00000000070,47.9368
ENSG00000143375,ENSPTRG00000007543,48.517
ENSG00000143375,ENSPTRG00000034369,48.2234
ENSG00000143367,ENSPTRG00000000184,47.5731
ENSG00000143367,ENSPTRG00000014072,47.8615
ENSG00000143367,ENSPTRG00000000184,48.1701
ENSG00000143367,ENSPTRG00000014072,47.8009
ENSG00000143367,ENSPTRG00000000017,48.1041
ENSG00000143376,ENSPTRG00000013795,49.836
