gorilla_gorilla,homo_sapiens
27473,84818,2000
ENSGGOG00000026262,ENSG00000244057,4.07674
ENSGGOG00000027893,ENSG00000261587,46.1725
ENSGGOG00000009486,ENSG00000260155,47.7106
ENSGGOG00000023986,ENSG00000187238,15.7706
ENSGGOG00000025775,ENSG00000138068,52.5424
ENSGGOG00000022293,ENSG00000231145,65.7407
ENSGGOG00000027653,ENSG00000263079,48.8426
ENSGGOG00000027804,ENSG00000213953,57.5758
ENSGGOG00000023282,ENSG00000175182,48.8667
ENSGGOG00000013094,ENSG00000138068,53.1073
ENSGGOG00000012194,ENSG00000138068,57.4468
ENSGGOG00000028583,ENSG00000187238,50
ENSGGOG00000027005,ENSG00000144278,48.9308
ENSGGOG00000023779,ENSG00000260164,47.9452
ENSGGOG00000028121,ENSG00000151689,50
ENSGGOG00000023233,ENSG00000231192,45.1713
ENSGGOG00000026005,ENSG00000261587,49.0925
ENSGGOG00000001305,ENSG00000261587,48.1675
ENSGGOG00000023866,ENSG00000057019,49.5007
ENSGGOG00000026410,ENSG00000261323,41.8426
ENSGGOG00000022055,ENSG00000233412,45.1233
ENSGGOG00000000052,ENSG00000261694,48.2243
ENSGGOG00000026663,ENSG00000260873,49.2005
ENSGGOG00000025745,ENSG00000230301,49.7072
ENSGGOG00000005680,ENSG00000261323,47.4305
ENSGGOG00000022327,ENSG00000196805,49.3917
ENSGGOG00000009969,ENSG00000198471,48.8704
ENSGGOG00000002291,ENSG00000187238,50.9642
ENSGGOG00000022771,ENSG00000138449,47.619
ENSGGOG00000023040,ENSG00000233412,41.5873
ENSGGOG00000023889,ENSG00000138068,50.9158
ENSGGOG00000023628,ENSG00000261678,46.1073
ENSGGOG00000010021,ENSG00000231192,43.5979
ENSGGOG00000024019,ENSG00000244094,49.2099
ENSGGOG00000010600,ENSG00000257436,48.4185
ENSGGOG00000006560,ENSG00000196578,44.9838
ENSGGOG00000013541,ENSG00000143452,48.6339
ENSGGOG00000004227,ENSG00000196578,44.3011
ENSGGOG00000001922,ENSG00000138068,55.7823
ENSGGOG00000027910,ENSG00000263040,48.8613
ENSGGOG00000024350,ENSG00000233412,47.1572
ENSGGOG00000012977,ENSG00000138449,50.1587
ENSGGOG00000010748,ENSG00000175482,48.513
ENSGGOG00000023122,ENSG00000138068,56.2963
ENSGGOG00000008684,ENSG00000138068,50.8591
ENSGGOG00000003214,ENSG00000197938,43.8454
ENSGGOG00000002017,ENSG00000196504,49.9692
ENSGGOG00000027094,ENSG00000163898,50
ENSGGOG00000003839,ENSG00000196578,44.2348
ENSGGOG00000000247,ENSG00000173914,48.5119
ENSGGOG00000013412,ENSG00000151690,48.8017
ENSGGOG00000024115,ENSG00000196578,46.1059
ENSGGOG00000009907,ENSG00000172531,47.0852
ENSGGOG00000025049,ENSG00000064933,48.5232
ENSGGOG00000023747,ENSG00000163898,49.4949
ENSGGOG00000007560,ENSG00000143889,47.6793
ENSGGOG00000003752,ENSG00000138068,49.4949
ENSGGOG00000027719,ENSG00000138449,51.3889
ENSGGOG00000028529,ENSG00000263040,49.3917
ENSGGOG00000026041,ENSG00000156931,54.4444
ENSGGOG00000010369,ENSG00000261417,48.0975
ENSGGOG00000006464,ENSG00000115271,50.0473
ENSGGOG00000006566,ENSG00000163209,47.8261
ENSGGOG00000027049,ENSG00000138449,50.7407
ENSGGOG00000005030,ENSG00000138068,50.6667
ENSGGOG00000025614,ENSG00000173227,49.0196
ENSGGOG00000010080,ENSG00000263135,13.7446
ENSGGOG00000004029,ENSG00000228804,48.1203
ENSGGOG00000000720,ENSG00000186226,46.7615
ENSGGOG00000015011,ENSG00000156931,48.6486
ENSGGOG00000004849,ENSG00000198712,48.1046
ENSGGOG00000022513,ENSG00000175505,48.0726
ENSGGOG00000023229,ENSG00000260873,50
ENSGGOG00000027052,ENSG00000231145,58.9744
ENSGGOG00000024200,ENSG00000162999,48.978
ENSGGOG00000027513,ENSG00000262204,15.1515
ENSGGOG00000023163,ENSG00000212907,47.8992
ENSGGOG00000027224,ENSG00000231145,60.8696
ENSGGOG00000023802,ENSG00000231145,60
ENSGGOG00000024978,ENSG00000175505,47.1475
ENSGGOG00000023191,ENSG00000136560,49.1124
ENSGGOG00000028309,ENSG00000138449,52.2088
ENSGGOG00000025976,ENSG00000260119,49.697
ENSGGOG00000008985,ENSG00000196098,48.6911
ENSGGOG00000008066,ENSG00000255738,47.6852
ENSGGOG00000003934,ENSG00000187238,47.619
ENSGGOG00000027008,ENSG00000168542,49.4152
ENSGGOG00000023130,ENSG00000235156,49.009
ENSGGOG00000026823,ENSG00000138068,51.7241
ENSGGOG00000002363,ENSG00000262666,48.1229
ENSGGOG00000008587,ENSG00000144395,49.2614
ENSGGOG00000007706,ENSG00000173621,46.9118
ENSGGOG00000026808,ENSG00000238035,47.344
ENSGGOG00000026720,ENSG00000187238,49.4152
ENSGGOG00000023195,ENSG00000228253,48.374
ENSGGOG00000023483,ENSG00000260119,49.6124
ENSGGOG00000006159,ENSG00000198130,49.5292
ENSGGOG00000028272,ENSG00000259919,49.5074
ENSGGOG00000025805,ENSG00000163900,48.0108
ENSGGOG00000028260,ENSG00000143442,52.0147
ENSGGOG00000027536,ENSG00000138068,55.5556
ENSGGOG00000024660,ENSG00000143363,48.5826
ENSGGOG00000026261,ENSG00000163209,49.1892
ENSGGOG00000023583,ENSG00000231192,40.6452
ENSGGOG00000024057,ENSG00000257448,32.6291
ENSGGOG00000026794,ENSG00000224153,48
ENSGGOG00000002340,ENSG00000255738,48.3709
ENSGGOG00000027730,ENSG00000138068,53.3333
ENSGGOG00000006116,ENSG00000197938,48.5019
