homo_sapiens,pongo_abelii
84818,23533,2000
ENSG00000259662,ENSPPYG00000018921,47.1774
ENSG00000258865,ENSPPYG00000019678,45.7923
ENSG00000261933,ENSPPYG00000018345,47.4773
ENSG00000255738,ENSPPYG00000020933,10.1695
ENSG00000227268,ENSPPYG00000020102,48.6034
ENSG00000263250,ENSPPYG00000018939,47.7901
ENSG00000224420,ENSPPYG00000020705,45.4545
ENSG00000226894,ENSPPYG00000017575,41.195
ENSG00000258664,ENSPPYG00000017575,43.4343
ENSG00000258518,ENSPPYG00000018443,47.3958
ENSG00000259741,ENSPPYG00000017764,48.5062
ENSG00000265969,ENSPPYG00000018961,48.1758
ENSG00000262355,ENSPPYG00000018981,48.254
ENSG00000262972,ENSPPYG00000018921,45.5357
ENSG00000263079,ENSPPYG00000019842,45.4746
ENSG00000264568,ENSPPYG00000019443,49.1935
ENSG00000266326,ENSPPYG00000020222,48.0463
ENSG00000266093,ENSPPYG00000019650,47.7273
ENSG00000264886,ENSPPYG00000017575,45.1128
ENSG00000198888,ENSPPYG00000020904,49.6862
ENSG00000198763,ENSPPYG00000020070,50
ENSG00000198804,ENSPPYG00000019247,48.3139
ENSG00000198712,ENSPPYG00000017997,49.8538
ENSG00000228253,ENSPPYG00000019215,51.2077
ENSG00000198899,ENSPPYG00000020122,49.0455
ENSG00000198938,ENSPPYG00000020122,49.8724
ENSG00000198840,ENSPPYG00000017575,43.3526
ENSG00000212907,ENSPPYG00000017575,47.8114
ENSG00000198886,ENSPPYG00000019247,48.4761
ENSG00000198786,ENSPPYG00000020517,49.6137
ENSG00000198695,ENSPPYG00000018783,51.0476
ENSG00000198727,ENSPPYG00000017953,49.4303
ENSG00000162980,ENSPPYG00000019213,48.16
ENSG00000162980,ENSPPYG00000017639,48.335
ENSG00000162980,ENSPPYG00000017639,48.2996
ENSG00000175182,ENSPPYG00000019810,47.4906
ENSG00000175182,ENSPPYG00000018985,48.0168
ENSG00000175182,ENSPPYG00000019880,48.6576
ENSG00000175182,ENSPPYG00000019169,47.644
ENSG00000175182,ENSPPYG00000017500,46.798
ENSG00000175182,ENSPPYG00000019826,47.3365
ENSG00000175182,ENSPPYG00000018117,46.2428
ENSG00000175182,ENSPPYG00000020328,49.9048
ENSG00000182389,ENSPPYG00000017859,48.6832
ENSG00000182389,ENSPPYG00000019265,48.9528
ENSG00000182389,ENSPPYG00000018587,48.2806
ENSG00000182389,ENSPPYG00000018587,48.5326
ENSG00000182389,ENSPPYG00000017722,48.9396
ENSG00000182389,ENSPPYG00000019247,46.8436
ENSG00000182389,ENSPPYG00000020304,47.1698
ENSG00000182389,ENSPPYG00000019247,48.3397
ENSG00000182389,ENSPPYG00000017859,48.7151
ENSG00000114859,ENSPPYG00000018947,48.0243
ENSG00000114859,ENSPPYG00000018947,48.133
ENSG00000114859,ENSPPYG00000019812,47.601
ENSG00000114859,ENSPPYG00000017430,47.5887
ENSG00000114859,ENSPPYG00000018947,48.2595
ENSG00000115145,ENSPPYG00000019213,48.5178
ENSG00000157827,ENSPPYG00000017959,49.1659
