pan_troglodytes,gorilla_gorilla
19384,27473,2000
ENSPTRG00000000102,ENSGGOG00000014794,49.2708
ENSPTRG00000018957,ENSGGOG00000001490,48.7615
ENSPTRG00000003141,ENSGGOG00000028217,47.5524
ENSPTRG00000003154,ENSGGOG00000000224,20.6083
ENSPTRG00000005696,ENSGGOG00000015882,47.6866
ENSPTRG00000017695,ENSGGOG00000026100,47.5556
ENSPTRG00000013793,ENSGGOG00000026926,48.3155
ENSPTRG00000013792,ENSGGOG00000027530,49.0404
ENSPTRG00000003144,ENSGGOG00000012775,48.0919
ENSPTRG00000005693,ENSGGOG00000010070,49.0587
ENSPTRG00000005692,ENSGGOG00000016192,49.0806
ENSPTRG00000017038,ENSGGOG00000027530,48.3434
ENSPTRG00000018949,ENSGGOG00000016542,48.9712
ENSPTRG00000003142,ENSGGOG00000016452,47.5758
ENSPTRG00000000101,ENSGGOG00000003981,50.1325
ENSPTRG00000024151,ENSGGOG00000016192,49.5081
ENSPTRG00000000104,ENSGGOG00000007706,48.0623
ENSPTRG00000017043,ENSGGOG00000008196,48.9694
ENSPTRG00000017043,ENSGGOG00000008196,49.0074
ENSPTRG00000000111,ENSGGOG00000001828,48.8006
ENSPTRG00000029128,ENSGGOG00000025666,40.9449
ENSPTRG00000005694,ENSGGOG00000001882,49.0765
ENSPTRG00000000103,ENSGGOG00000015979,49.5849
ENSPTRG00000000109,ENSGGOG00000005923,48.6889
ENSPTRG00000003153,ENSGGOG00000006624,47.6768
ENSPTRG00000020055,ENSGGOG00000005626,48.5149
ENSPTRG00000024170,ENSGGOG00000004058,49.3601
ENSPTRG00000005690,ENSGGOG00000010082,49.4183
ENSPTRG00000017031,ENSGGOG00000010587,48.6934
ENSPTRG00000017031,ENSGGOG00000010587,49.0639
ENSPTRG00000003126,ENSGGOG00000003008,46.5686
ENSPTRG00000020052,ENSGGOG00000013424,47.4249
ENSPTRG00000022488,ENSGGOG00000010545,49.1752
ENSPTRG00000005684,ENSGGOG00000003710,48.5274
ENSPTRG00000020053,ENSGGOG00000008129,48.6377
ENSPTRG00000000091,ENSGGOG00000010879,45.5163
ENSPTRG00000017053,ENSGGOG00000025280,34.7826
ENSPTRG00000028769,ENSGGOG00000027653,45.8175
ENSPTRG00000000092,ENSGGOG00000009976,49.7256
ENSPTRG00000028763,ENSGGOG00000028422,49.0765
ENSPTRG00000003128,ENSGGOG00000016493,45.5628
ENSPTRG00000003129,ENSGGOG00000026577,46.9809
ENSPTRG00000000093,ENSGGOG00000015635,48.1797
ENSPTRG00000020054,ENSGGOG00000016587,48.3002
ENSPTRG00000005685,ENSGGOG00000015979,49.0488
ENSPTRG00000017052,ENSGGOG00000028585,48.7298
ENSPTRG00000017050,ENSGGOG00000016192,49.2825
ENSPTRG00000000094,ENSGGOG00000008020,49.3233
ENSPTRG00000000096,ENSGGOG00000023813,49.1639
ENSPTRG00000017049,ENSGGOG00000005412,49.2593
ENSPTRG00000022489,ENSGGOG00000014261,49.3325
ENSPTRG00000022489,ENSGGOG00000002460,49.6104
ENSPTRG00000017048,ENSGGOG00000034932,49.013
ENSPTRG00000003130,ENSGGOG00000025009,47.3373
ENSPTRG00000018952,ENSGGOG00000006828,49.3684
ENSPTRG00000003132,ENSGGOG00000026664,48.5853
ENSPTRG00000017047,ENSGGOG00000026036,49.0155
ENSPTRG00000000089,ENSGGOG00000010070,49.753
ENSPTRG00000042501,ENSGGOG00000003936,48.8127
ENSPTRG00000028653,ENSGGOG00000026982,49.0928
ENSPTRG00000017042,ENSGGOG00000004006,49.8223
ENSPTRG00000000106,ENSGGOG00000013493,49.9024
ENSPTRG00000020056,ENSGGOG00000028442,48.935
