macaca_mulatta,pan_troglodytes
35261,19384,2000
ENSMMUG00000032574,ENSPTRG00000016929,48.325
ENSMMUG00000016681,ENSPTRG00000004015,48.6002
ENSMMUG00000016679,ENSPTRG00000028745,47.7505
ENSMMUG00000003485,ENSPTRG00000009890,24.3207
ENSMMUG00000003485,ENSPTRG00000009890,3.62041
ENSMMUG00000011961,ENSPTRG00000019121,49.5726
ENSMMUG00000004032,ENSPTRG00000007681,48.1206
ENSMMUG00000004032,ENSPTRG00000003184,47.1301
ENSMMUG00000002512,ENSPTRG00000009886,22.9121
ENSMMUG00000002512,ENSPTRG00000004554,48.941
ENSMMUG00000002512,ENSPTRG00000018919,49.177
ENSMMUG00000002512,ENSPTRG00000009886,34.9518
ENSMMUG00000006800,ENSPTRG00000009885,6.60793
ENSMMUG00000021992,ENSPTRG00000009884,48.6355
ENSMMUG00000021855,ENSPTRG00000029472,49.6855
ENSMMUG00000021853,ENSPTRG00000009882,19.5299
ENSMMUG00000023284,ENSPTRG00000041927,48.9177
ENSMMUG00000023284,ENSPTRG00000014585,48.6291
ENSMMUG00000023281,ENSPTRG00000039081,48.8017
ENSMMUG00000021125,ENSPTRG00000009879,9.13811
ENSMMUG00000021125,ENSPTRG00000009879,11.1448
ENSMMUG00000032572,ENSPTRG00000009878,19.2427
ENSMMUG00000021126,ENSPTRG00000009877,12.3249
ENSMMUG00000021126,ENSPTRG00000013935,47.4627
ENSMMUG00000014935,ENSPTRG00000016913,47.6449
ENSMMUG00000014935,ENSPTRG00000016929,48.2874
ENSMMUG00000014935,ENSPTRG00000016929,47.433
ENSMMUG00000023726,ENSPTRG00000018996,48.713
ENSMMUG00000023726,ENSPTRG00000028731,48.4848
ENSMMUG00000023726,ENSPTRG00000021649,48.4094
ENSMMUG00000023726,ENSPTRG00000016687,48.8095
ENSMMUG00000004221,ENSPTRG00000016896,49.4309
ENSMMUG00000019059,ENSPTRG00000014102,48.0545
ENSMMUG00000019061,ENSPTRG00000013946,49.6514
ENSMMUG00000019061,ENSPTRG00000000064,49.6739
ENSMMUG00000019062,ENSPTRG00000021741,49.8787
ENSMMUG00000032571,ENSPTRG00000005728,4.06504
ENSMMUG00000011466,ENSPTRG00000009871,21.4354
ENSMMUG00000011466,ENSPTRG00000004536,49.1689
ENSMMUG00000011467,ENSPTRG00000009872,48.6536
ENSMMUG00000011467,ENSPTRG00000009872,44.6146
ENSMMUG00000011467,ENSPTRG00000009872,43.698
ENSMMUG00000011467,ENSPTRG00000013880,49.7114
ENSMMUG00000011467,ENSPTRG00000009872,43.9809
ENSMMUG00000023179,ENSPTRG00000042236,49.6124
ENSMMUG00000010471,ENSPTRG00000009873,28.3861
ENSMMUG00000010471,ENSPTRG00000009873,4.5098
ENSMMUG00000010471,ENSPTRG00000009873,10.7991
ENSMMUG00000000682,ENSPTRG00000016929,48.6364
ENSMMUG00000000682,ENSPTRG00000000102,48.927
ENSMMUG00000011772,ENSPTRG00000009865,3.24826
ENSMMUG00000015014,ENSPTRG00000018979,48.6695
ENSMMUG00000015014,ENSPTRG00000017066,49.375
ENSMMUG00000015013,ENSPTRG00000040752,49.2662
ENSMMUG00000005692,ENSPTRG00000041720,48.9816
ENSMMUG00000000551,ENSPTRG00000003339,48.3531
ENSMMUG00000019525,ENSPTRG00000009860,7.3552
ENSMMUG00000019525,ENSPTRG00000017695,48.4321
ENSMMUG00000019521,ENSPTRG00000009859,7.02254
ENSMMUG00000019521,ENSPTRG00000040665,49.1417
ENSMMUG00000010726,ENSPTRG00000009858,8.00663
ENSMMUG00000022097,ENSPTRG00000009857,2.52184
ENSMMUG00000022097,ENSPTRG00000009857,5.05815
ENSMMUG00000022097,ENSPTRG00000003194,48.3669
ENSMMUG00000022095,ENSPTRG00000009856,11.1111
ENSMMUG00000022095,ENSPTRG00000009856,23.1275
