macaca_mulatta,gorilla_gorilla
35261,27473,2000
ENSMMUG00000032574,ENSGGOG00000005564,47.1524
ENSMMUG00000016681,ENSGGOG00000015011,45.6887
ENSMMUG00000016679,ENSGGOG00000015011,34.9693
ENSMMUG00000003485,ENSGGOG00000022789,48.6415
ENSMMUG00000003485,ENSGGOG00000005564,48.1624
ENSMMUG00000011961,ENSGGOG00000010632,49.0842
ENSMMUG00000004032,ENSGGOG00000014343,48.1206
ENSMMUG00000004032,ENSGGOG00000010879,47.5765
ENSMMUG00000002512,ENSGGOG00000003533,49.4498
ENSMMUG00000002512,ENSGGOG00000006837,49.0923
ENSMMUG00000002512,ENSGGOG00000001326,49.1369
ENSMMUG00000002512,ENSGGOG00000026836,49.5179
ENSMMUG00000006800,ENSGGOG00000006202,49.3392
ENSMMUG00000021992,ENSGGOG00000027005,49.0253
ENSMMUG00000021855,ENSGGOG00000002996,49.6855
ENSMMUG00000021853,ENSGGOG00000016192,48.8034
ENSMMUG00000023284,ENSGGOG00000015749,49.4949
ENSMMUG00000023284,ENSGGOG00000001305,49.1342
ENSMMUG00000023281,ENSGGOG00000025201,48.1481
ENSMMUG00000021125,ENSGGOG00000014326,49.775
ENSMMUG00000021125,ENSGGOG00000012775,49.7643
ENSMMUG00000032572,ENSGGOG00000003281,48.1688
ENSMMUG00000021126,ENSGGOG00000013834,47.9692
ENSMMUG00000021126,ENSGGOG00000027058,47.1642
ENSMMUG00000014935,ENSGGOG00000022136,47.9469
ENSMMUG00000014935,ENSGGOG00000005564,46.9507
ENSMMUG00000014935,ENSGGOG00000005564,47.9693
ENSMMUG00000023726,ENSGGOG00000022789,48.3269
ENSMMUG00000023726,ENSGGOG00000016645,48.0716
ENSMMUG00000023726,ENSGGOG00000002110,47.8562
ENSMMUG00000023726,ENSGGOG00000008829,47.8836
ENSMMUG00000004221,ENSGGOG00000008196,49.6155
ENSMMUG00000019059,ENSGGOG00000008323,48.4436
ENSMMUG00000019061,ENSGGOG00000003079,49.8349
ENSMMUG00000019061,ENSGGOG00000004206,49.5233
ENSMMUG00000019062,ENSGGOG00000026664,49.4745
ENSMMUG00000032571,ENSGGOG00000025955,4.47154
ENSMMUG00000011466,ENSGGOG00000003136,48.756
ENSMMUG00000011466,ENSGGOG00000027838,48.9939
ENSMMUG00000011467,ENSGGOG00000009504,48.8361
ENSMMUG00000011467,ENSGGOG00000009504,47.9743
ENSMMUG00000011467,ENSGGOG00000016725,48.8704
ENSMMUG00000011467,ENSGGOG00000025202,48.8775
ENSMMUG00000011467,ENSGGOG00000016725,48.8677
ENSMMUG00000023179,ENSGGOG00000022277,47.8036
ENSMMUG00000010471,ENSGGOG00000011369,9.48905
ENSMMUG00000010471,ENSGGOG00000011369,26.732
ENSMMUG00000010471,ENSGGOG00000024722,48.3801
ENSMMUG00000000682,ENSGGOG00000027362,48.8636
ENSMMUG00000000682,ENSGGOG00000005564,49.0987
ENSMMUG00000011772,ENSGGOG00000022262,49.2807
ENSMMUG00000015014,ENSGGOG00000022789,48.7395
ENSMMUG00000015014,ENSGGOG00000026223,49.2188
ENSMMUG00000015013,ENSGGOG00000023643,48.5325
ENSMMUG00000005692,ENSGGOG00000022513,49.0786
ENSMMUG00000000551,ENSGGOG00000009907,47.9578
ENSMMUG00000019525,ENSGGOG00000025049,48.5648
ENSMMUG00000019525,ENSGGOG00000026726,47.3868
ENSMMUG00000019521,ENSGGOG00000016306,50.4389
ENSMMUG00000019521,ENSGGOG00000034992,49.7476
ENSMMUG00000010726,ENSGGOG00000022961,49.0337
ENSMMUG00000022097,ENSGGOG00000015271,48.999
ENSMMUG00000022097,ENSGGOG00000015271,49.0125
ENSMMUG00000022097,ENSGGOG00000026846,49.0828
ENSMMUG00000022095,ENSGGOG00000002110,49.409
ENSMMUG00000022095,ENSGGOG00000027633,48.6202
ENSMMUG00000022130,ENSGGOG00000028067,49.1852
ENSMMUG00000015761,ENSGGOG00000001091,48.4649
ENSMMUG00000032568,ENSGGOG00000005419,48.4848
ENSMMUG00000003993,ENSGGOG00000026263,48.2353
ENSMMUG00000000768,ENSGGOG00000005746,49.3811
ENSMMUG00000000890,ENSGGOG00000010632,49.2701
ENSMMUG00000011408,ENSGGOG00000025055,48.8454
ENSMMUG00000011404,ENSGGOG00000013205,48.8095
ENSMMUG00000011404,ENSGGOG00000012231,49.3769
ENSMMUG00000014506,ENSGGOG00000006443,48.9982
ENSMMUG00000014506,ENSGGOG00000003797,48.7037
ENSMMUG00000000212,ENSGGOG00000025576,49.3671
ENSMMUG00000016302,ENSGGOG00000034818,49.3656
ENSMMUG00000016302,ENSGGOG00000014852,49.2987
ENSMMUG00000032565,ENSGGOG00000023742,47.7046
ENSMMUG00000021463,ENSGGOG00000025666,36.5696
ENSMMUG00000019418,ENSGGOG00000009880,49.3923
ENSMMUG00000019418,ENSGGOG00000025079,49.5266
ENSMMUG00000022005,ENSGGOG00000004273,49.6356
ENSMMUG00000001471,ENSGGOG00000008323,48.3981
ENSMMUG00000001471,ENSGGOG00000027443,48.7879
ENSMMUG00000005086,ENSGGOG00000022262,49.7967
ENSMMUG00000005086,ENSGGOG00000009223,48.9805
ENSMMUG00000005086,ENSGGOG00000015683,49.1966
ENSMMUG00000005086,ENSGGOG00000008634,49.4589
ENSMMUG00000013752,ENSGGOG00000015683,49.0196
ENSMMUG00000019893,ENSGGOG00000024660,49.147
ENSMMUG00000019893,ENSGGOG00000006205,49.1091
ENSMMUG00000019892,ENSGGOG00000000513,49.6314
ENSMMUG00000019892,ENSGGOG00000000513,49.6228
ENSMMUG00000019892,ENSGGOG00000017107,49.4115
ENSMMUG00000017548,ENSGGOG00000003712,49.9138
ENSMMUG00000017546,ENSGGOG00000004730,49.3982
ENSMMUG00000017546,ENSGGOG00000003617,47.5593
ENSMMUG00000005461,ENSGGOG00000022961,48.9377
ENSMMUG00000005461,ENSGGOG00000025049,49.0483
ENSMMUG00000005175,ENSGGOG00000022441,48.8457
ENSMMUG00000018952,ENSGGOG00000026860,48.2018
ENSMMUG00000018950,ENSGGOG00000027171,49.3498
ENSMMUG00000018950,ENSGGOG00000007376,48.9112
ENSMMUG00000013904,ENSGGOG00000025386,37.9538
ENSMMUG00000021265,ENSGGOG00000006205,48.7403
ENSMMUG00000021265,ENSGGOG00000016645,48.5251
ENSMMUG00000016216,ENSGGOG00000016464,47.0037
ENSMMUG00000004054,ENSGGOG00000010070,48.8303
ENSMMUG00000004051,ENSGGOG00000013589,48.3707
ENSMMUG00000004051,ENSGGOG00000027971,48.3333
ENSMMUG00000004051,ENSGGOG00000028587,48.4848
ENSMMUG00000004046,ENSGGOG00000015635,48.7943
ENSMMUG00000004046,ENSGGOG00000028221,49.0494
ENSMMUG00000004046,ENSGGOG00000006504,48.1962
ENSMMUG00000004045,ENSGGOG00000023227,48.6305
ENSMMUG00000004045,ENSGGOG00000003981,48.2719
ENSMMUG00000004045,ENSGGOG00000026223,48.9077
ENSMMUG00000012130,ENSGGOG00000006703,42.9672
ENSMMUG00000004663,ENSGGOG00000022082,49.0031
ENSMMUG00000004662,ENSGGOG00000026846,48.784
ENSMMUG00000004660,ENSGGOG00000010070,49.2688
ENSMMUG00000004660,ENSGGOG00000027171,49.0196
ENSMMUG00000004656,ENSGGOG00000022961,48.4139
ENSMMUG00000004658,ENSGGOG00000025651,47.3333
ENSMMUG00000003974,ENSGGOG00000034830,49.3342
ENSMMUG00000003974,ENSGGOG00000014572,49.6041
ENSMMUG00000003974,ENSGGOG00000001501,48.6063
ENSMMUG00000009164,ENSGGOG00000026883,26.4865
ENSMMUG00000008305,ENSGGOG00000028067,47.813
ENSMMUG00000012987,ENSGGOG00000001312,10.9672
ENSMMUG00000012987,ENSGGOG00000001312,8.32795
ENSMMUG00000003992,ENSGGOG00000026428,48.7973
ENSMMUG00000004382,ENSGGOG00000016296,48.9735
ENSMMUG00000004382,ENSGGOG00000016542,48.7335
ENSMMUG00000007695,ENSGGOG00000023303,45.2489
ENSMMUG00000010227,ENSGGOG00000025378,48.4939
ENSMMUG00000032561,ENSGGOG00000025666,40
ENSMMUG00000010944,ENSGGOG00000011619,47.8114
ENSMMUG00000001477,ENSGGOG00000026041,50.2283
ENSMMUG00000009669,ENSGGOG00000027844,49.1811
ENSMMUG00000012715,ENSGGOG00000026860,48.5354
ENSMMUG00000005125,ENSGGOG00000002324,48.7437
ENSMMUG00000032559,ENSGGOG00000025346,48.8656
ENSMMUG00000032558,ENSGGOG00000027405,46.9697
ENSMMUG00000021478,ENSGGOG00000027923,47.9705
ENSMMUG00000021480,ENSGGOG00000026860,48.6644
ENSMMUG00000021484,ENSGGOG00000000082,49.7336
ENSMMUG00000020328,ENSGGOG00000011472,48.7265
ENSMMUG00000020328,ENSGGOG00000024674,48.6318
ENSMMUG00000004321,ENSGGOG00000004198,49.1841
ENSMMUG00000004321,ENSGGOG00000016974,50.0097
ENSMMUG00000004321,ENSGGOG00000027377,49.0821
ENSMMUG00000004321,ENSGGOG00000027377,48.9315
ENSMMUG00000004321,ENSGGOG00000013533,49.5528
ENSMMUG00000004343,ENSGGOG00000023218,49.5437
ENSMMUG00000004346,ENSGGOG00000005399,49.3431
ENSMMUG00000004346,ENSGGOG00000024660,48.6635
ENSMMUG00000004346,ENSGGOG00000009223,49.0402
ENSMMUG00000004346,ENSGGOG00000009223,48.7816
ENSMMUG00000004350,ENSGGOG00000015979,48.8917
ENSMMUG00000004350,ENSGGOG00000004273,48.7465
ENSMMUG00000004350,ENSGGOG00000026119,49.0357
ENSMMUG00000032557,ENSGGOG00000025666,34.9673
ENSMMUG00000004664,ENSGGOG00000016192,48.7296
ENSMMUG00000015065,ENSGGOG00000006116,47.997
ENSMMUG00000032556,ENSGGOG00000025666,34.891
ENSMMUG00000000207,ENSGGOG00000023985,48.1481
ENSMMUG00000008600,ENSGGOG00000012100,49.2427
ENSMMUG00000008600,ENSGGOG00000012100,49.1841
ENSMMUG00000018059,ENSGGOG00000002250,49.0679
ENSMMUG00000018059,ENSGGOG00000001828,48.616
ENSMMUG00000018066,ENSGGOG00000012977,49.1935
ENSMMUG00000018066,ENSGGOG00000022913,46.6667
ENSMMUG00000016190,ENSGGOG00000004676,48.6305
ENSMMUG00000004595,ENSGGOG00000023554,49.8849
ENSMMUG00000004595,ENSGGOG00000015882,49.7548
ENSMMUG00000014934,ENSGGOG00000027171,49.1537
ENSMMUG00000014934,ENSGGOG00000022578,48.4266
ENSMMUG00000014934,ENSGGOG00000025833,49.9239
ENSMMUG00000011801,ENSGGOG00000016192,48.3713
ENSMMUG00000011801,ENSGGOG00000006443,48.1928
ENSMMUG00000032555,ENSGGOG00000026068,11.245
ENSMMUG00000008614,ENSGGOG00000028133,48.7387
ENSMMUG00000008614,ENSGGOG00000028133,48.6068
ENSMMUG00000015178,ENSGGOG00000012100,1.94755
ENSMMUG00000032554,ENSGGOG00000026147,47.2464
ENSMMUG00000032553,ENSGGOG00000026162,48.3245
ENSMMUG00000007668,ENSGGOG00000010070,48.8095
ENSMMUG00000007668,ENSGGOG00000010070,49.0266
ENSMMUG00000011687,ENSGGOG00000010070,48.9653
ENSMMUG00000011687,ENSGGOG00000010070,48.7421
ENSMMUG00000011690,ENSGGOG00000012100,48.983
ENSMMUG00000011690,ENSGGOG00000012100,49.1274
ENSMMUG00000011690,ENSGGOG00000010070,49.0686
ENSMMUG00000022703,ENSGGOG00000010545,49.4765
ENSMMUG00000022704,ENSGGOG00000022699,49.1657
ENSMMUG00000021094,ENSGGOG00000025079,49.2667
ENSMMUG00000021095,ENSGGOG00000022699,49.1074
ENSMMUG00000016673,ENSGGOG00000022790,48.5577
ENSMMUG00000016674,ENSGGOG00000022961,49.4851
ENSMMUG00000016674,ENSGGOG00000022123,48.6792
ENSMMUG00000016674,ENSGGOG00000012299,49.2345
ENSMMUG00000006733,ENSGGOG00000026696,49.4407
ENSMMUG00000018006,ENSGGOG00000022961,48.7179
ENSMMUG00000032550,ENSGGOG00000025666,36.859
ENSMMUG00000016707,ENSGGOG00000013717,45.7475
ENSMMUG00000012849,ENSGGOG00000028407,48.8628
ENSMMUG00000012849,ENSGGOG00000023218,48.8653
ENSMMUG00000023019,ENSGGOG00000015371,48.9302
ENSMMUG00000023020,ENSGGOG00000004655,48.4667
ENSMMUG00000008190,ENSGGOG00000011467,49.0461
ENSMMUG00000008190,ENSGGOG00000027808,48.8292
ENSMMUG00000004328,ENSGGOG00000008196,48.9194
