gorilla_gorilla,pongo_abelii
27473,23533,2000
ENSGGOG00000026262,ENSPPYG00000020002,48.2014
ENSGGOG00000027893,ENSPPYG00000019678,45.9295
ENSGGOG00000009486,ENSPPYG00000020258,47.541
ENSGGOG00000023986,ENSPPYG00000018317,47.6703
ENSGGOG00000025775,ENSPPYG00000018077,48.5876
ENSGGOG00000022293,ENSPPYG00000020220,48.1481
ENSGGOG00000027653,ENSPPYG00000019676,44.6759
ENSGGOG00000027804,ENSPPYG00000018337,48.4848
ENSGGOG00000023282,ENSPPYG00000019988,47.5333
ENSGGOG00000013094,ENSPPYG00000019511,46.3277
ENSGGOG00000012194,ENSPPYG00000017555,49.6454
ENSGGOG00000028583,ENSPPYG00000019119,46.3768
ENSGGOG00000027005,ENSPPYG00000017937,47.9245
ENSGGOG00000023779,ENSPPYG00000019073,48.8584
ENSGGOG00000028121,ENSPPYG00000019948,47.5877
ENSGGOG00000023233,ENSPPYG00000018127,40.0831
ENSGGOG00000026005,ENSPPYG00000018443,48.5739
ENSGGOG00000001305,ENSPPYG00000017466,47.3822
ENSGGOG00000023866,ENSPPYG00000019491,50.4993
ENSGGOG00000026410,ENSPPYG00000018127,42.3225
ENSGGOG00000022055,ENSPPYG00000019992,43.194
ENSGGOG00000000052,ENSPPYG00000018123,47.757
ENSGGOG00000026663,ENSPPYG00000018637,45.941
ENSGGOG00000025745,ENSPPYG00000020601,49.3169
ENSGGOG00000005680,ENSPPYG00000018211,47.1778
ENSGGOG00000022327,ENSPPYG00000018627,23.3577
ENSGGOG00000009969,ENSPPYG00000020886,48.6326
ENSGGOG00000002291,ENSPPYG00000019027,48.7603
ENSGGOG00000022771,ENSPPYG00000018689,48.3516
ENSGGOG00000023040,ENSPPYG00000020060,37.3545
ENSGGOG00000023889,ENSPPYG00000017810,47.2527
ENSGGOG00000023628,ENSPPYG00000018931,44.3689
ENSGGOG00000010021,ENSPPYG00000019576,43.2804
ENSGGOG00000024019,ENSPPYG00000019730,11.9639
ENSGGOG00000010600,ENSPPYG00000018103,46.7153
ENSGGOG00000006560,ENSPPYG00000018133,41.3161
ENSGGOG00000013541,ENSPPYG00000020519,48.4352
ENSGGOG00000004227,ENSPPYG00000020060,43.1183
ENSGGOG00000001922,ENSPPYG00000018242,46.9388
ENSGGOG00000027910,ENSPPYG00000019233,48.2402
ENSGGOG00000024350,ENSPPYG00000019882,44.9275
ENSGGOG00000012977,ENSPPYG00000019908,46.9841
ENSGGOG00000010748,ENSPPYG00000018939,47.8625
ENSGGOG00000023122,ENSPPYG00000019572,49.6296
ENSGGOG00000008684,ENSPPYG00000017575,47.079
ENSGGOG00000003214,ENSPPYG00000018127,41.6073
ENSGGOG00000002017,ENSPPYG00000020601,49.1077
ENSGGOG00000027094,ENSPPYG00000019950,48.2639
ENSGGOG00000003839,ENSPPYG00000019882,40.3564
ENSGGOG00000000247,ENSPPYG00000020214,33.1349
ENSGGOG00000013412,ENSPPYG00000019011,48.5839
ENSGGOG00000024115,ENSPPYG00000018127,39.46
ENSGGOG00000009907,ENSPPYG00000019792,47.9821
ENSGGOG00000025049,ENSPPYG00000018815,48.3122
ENSGGOG00000023747,ENSPPYG00000020876,48.8215
ENSGGOG00000007560,ENSPPYG00000018767,48.1013
ENSGGOG00000003752,ENSPPYG00000018933,48.9899
ENSGGOG00000027719,ENSPPYG00000019059,49.537
ENSGGOG00000028529,ENSPPYG00000017539,42.0925
ENSGGOG00000026041,ENSPPYG00000020068,47.2222
ENSGGOG00000010369,ENSPPYG00000018937,47.4435
ENSGGOG00000006464,ENSPPYG00000019551,50.4726
ENSGGOG00000006566,ENSPPYG00000019015,48.7923
ENSGGOG00000027049,ENSPPYG00000017810,48.1481
ENSGGOG00000005030,ENSPPYG00000018441,6
ENSGGOG00000025614,ENSPPYG00000019770,49.0196
ENSGGOG00000010080,ENSPPYG00000018069,43.8312
ENSGGOG00000004029,ENSPPYG00000017575,45.3634
ENSGGOG00000000720,ENSPPYG00000019946,47.2354
ENSGGOG00000015011,ENSPPYG00000018292,48.3483
ENSGGOG00000004849,ENSPPYG00000018739,48.7582
ENSGGOG00000022513,ENSPPYG00000018165,47.8458
ENSGGOG00000023229,ENSPPYG00000017575,47.1264
ENSGGOG00000027052,ENSPPYG00000020008,53.8462
ENSGGOG00000024200,ENSPPYG00000019247,47.0855
ENSGGOG00000027513,ENSPPYG00000018069,40.3344
ENSGGOG00000023163,ENSPPYG00000017575,42.2969
ENSGGOG00000027224,ENSPPYG00000018719,50.7246
ENSGGOG00000023802,ENSPPYG00000018719,52
ENSGGOG00000024978,ENSPPYG00000018165,48.3315
ENSGGOG00000023191,ENSPPYG00000018809,49.0335
ENSGGOG00000028309,ENSPPYG00000018246,46.5863
ENSGGOG00000025976,ENSPPYG00000017575,43.3333
ENSGGOG00000008985,ENSPPYG00000018073,48.3421
ENSGGOG00000008066,ENSPPYG00000019676,45.6019
ENSGGOG00000003934,ENSPPYG00000019113,48.2143
ENSGGOG00000027008,ENSPPYG00000017428,47.3684
ENSGGOG00000023130,ENSPPYG00000017539,48.8288
ENSGGOG00000026823,ENSPPYG00000018201,47.7011
ENSGGOG00000002363,ENSPPYG00000020741,47.6109
ENSGGOG00000008587,ENSPPYG00000019247,48.298
ENSGGOG00000007706,ENSPPYG00000019123,0.980392
ENSGGOG00000026808,ENSPPYG00000019988,47.9416
ENSGGOG00000026720,ENSPPYG00000017428,47.076
ENSGGOG00000023195,ENSPPYG00000020030,48.374
ENSGGOG00000023483,ENSPPYG00000018689,47.2868
ENSGGOG00000006159,ENSPPYG00000020840,44.162
ENSGGOG00000028272,ENSPPYG00000019594,48.2759
ENSGGOG00000025805,ENSPPYG00000020046,48.915
ENSGGOG00000028260,ENSPPYG00000020338,49.0842
ENSGGOG00000027536,ENSPPYG00000019511,48.538
ENSGGOG00000024660,ENSPPYG00000019596,48.1916
ENSGGOG00000026261,ENSPPYG00000017539,49.1892
ENSGGOG00000023583,ENSPPYG00000018127,41.0753
ENSGGOG00000024057,ENSPPYG00000017575,46.7136
ENSGGOG00000026794,ENSPPYG00000019053,47.9048
