pan_troglodytes,homo_sapiens
19384,84818,2000
ENSPTRG00000000102,ENSG00000151689,48.75
ENSPTRG00000018957,ENSG00000064989,47.8406
ENSPTRG00000003141,ENSG00000241794,48.2517
ENSPTRG00000003154,ENSG00000260789,45.6859
ENSPTRG00000005696,ENSG00000188452,47.7918
ENSPTRG00000017695,ENSG00000156931,51.1111
ENSPTRG00000013793,ENSG00000138386,48.1138
ENSPTRG00000013792,ENSG00000115825,48.7624
ENSPTRG00000003144,ENSG00000172830,48.0581
ENSPTRG00000005693,ENSG00000136560,48.7265
ENSPTRG00000005692,ENSG00000118997,48.6865
ENSPTRG00000017038,ENSG00000115825,48.5549
ENSPTRG00000018949,ENSG00000136560,48.7654
ENSPTRG00000003142,ENSG00000173156,47.9545
ENSPTRG00000000101,ENSG00000163002,49.7615
ENSPTRG00000024151,ENSG00000196151,49.1503
ENSPTRG00000000104,ENSG00000261042,47.5429
ENSPTRG00000017043,ENSG00000064933,48.5571
ENSPTRG00000017043,ENSG00000064933,48.5333
ENSPTRG00000000111,ENSG00000162989,47.976
ENSPTRG00000029128,ENSG00000256219,42.2572
ENSPTRG00000005694,ENSG00000261149,48.3603
ENSPTRG00000000103,ENSG00000143889,49.106
ENSPTRG00000000109,ENSG00000173992,48.8081
ENSPTRG00000003153,ENSG00000260665,48.4175
ENSPTRG00000020055,ENSG00000172932,48.2448
ENSPTRG00000024170,ENSG00000198471,49.482
ENSPTRG00000005690,ENSG00000182389,48.8113
ENSPTRG00000017031,ENSG00000259919,49.0241
ENSPTRG00000017031,ENSG00000260178,49.1285
ENSPTRG00000003126,ENSG00000260789,47.1405
ENSPTRG00000020052,ENSG00000173621,47.1567
ENSPTRG00000022488,ENSG00000136536,48.5288
ENSPTRG00000005684,ENSG00000261933,48.0589
ENSPTRG00000020053,ENSG00000104825,48.5368
ENSPTRG00000000091,ENSG00000261678,47.0788
ENSPTRG00000017053,ENSG00000136527,50.1672
ENSPTRG00000028769,ENSG00000263079,46.1977
ENSPTRG00000000092,ENSG00000090539,49.5609
ENSPTRG00000028763,ENSG00000143375,49.3404
ENSPTRG00000003128,ENSG00000259662,47.4026
ENSPTRG00000003129,ENSG00000261297,47.6436
ENSPTRG00000000093,ENSG00000260313,48.1022
ENSPTRG00000020054,ENSG00000172508,48.614
ENSPTRG00000005685,ENSG00000262840,48.2245
ENSPTRG00000017052,ENSG00000260770,49.4226
ENSPTRG00000017050,ENSG00000118600,48.2511
ENSPTRG00000000094,ENSG00000261236,48.977
ENSPTRG00000000096,ENSG00000263310,48.5173
ENSPTRG00000017049,ENSG00000136560,49.3519
ENSPTRG00000022489,ENSG00000064989,48.6574
ENSPTRG00000022489,ENSG00000115267,49.3979
ENSPTRG00000017048,ENSG00000143452,48.8686
ENSPTRG00000003130,ENSG00000261539,47.6923
ENSPTRG00000018952,ENSG00000115271,48.1579
ENSPTRG00000003132,ENSG00000260313,48.5044
ENSPTRG00000017047,ENSG00000115841,49.3671
ENSPTRG00000000089,ENSG00000259896,49.012
ENSPTRG00000042501,ENSG00000064933,48.9006
ENSPTRG00000028653,ENSG00000188010,48.9861
ENSPTRG00000017042,ENSG00000115252,49.538
ENSPTRG00000000106,ENSG00000143442,50.2196
ENSPTRG00000020056,ENSG00000163159,49.0415
ENSPTRG00000003143,ENSG00000172508,47.9136
ENSPTRG00000013785,ENSG00000177990,48.652
ENSPTRG00000003137,ENSG00000184220,49.1837
ENSPTRG00000003138,ENSG00000261297,47.3488
ENSPTRG00000017044,ENSG00000144395,49.0804
ENSPTRG00000017044,ENSG00000144395,49.1728
ENSPTRG00000018954,ENSG00000170854,48
ENSPTRG00000005687,ENSG00000156931,48.9726
ENSPTRG00000000100,ENSG00000263040,49.5633
ENSPTRG00000003139,ENSG00000259919,48.2759
ENSPTRG00000018955,ENSG00000170854,48.6755
ENSPTRG00000003140,ENSG00000260789,47.7112
ENSPTRG00000018953,ENSG00000113966,48.8081
ENSPTRG00000000098,ENSG00000064933,49.2524
ENSPTRG00000000099,ENSG00000114859,49.4534
ENSPTRG00000023465,ENSG00000261201,48.4436
ENSPTRG00000004015,ENSG00000261297,45.1883
ENSPTRG00000005691,ENSG00000168542,49.5941
ENSPTRG00000022613,ENSG00000143458,48.7899
ENSPTRG00000018959,ENSG00000157827,49.4113
ENSPTRG00000023446,ENSG00000260716,47.9489
ENSPTRG00000013791,ENSG00000143452,47.9602
ENSPTRG00000017039,ENSG00000113966,48.2698
ENSPTRG00000017039,ENSG00000168542,49.8559
ENSPTRG00000017041,ENSG00000123612,48.2548
ENSPTRG00000013790,ENSG00000144366,47.6942
ENSPTRG00000028760,ENSG00000261297,46.9484
ENSPTRG00000028760,ENSG00000261042,46.9534
ENSPTRG00000042077,ENSG00000196805,48.2094
ENSPTRG00000013786,ENSG00000262742,48.3007
ENSPTRG00000003160,ENSG00000260789,47.3094
ENSPTRG00000005695,ENSG00000163900,49.1512
ENSPTRG00000003123,ENSG00000257961,46.5664
ENSPTRG00000040750,ENSG00000261297,47.327
ENSPTRG00000017032,ENSG00000188452,48.8269
ENSPTRG00000022501,ENSG00000156931,48.1214
ENSPTRG00000018950,ENSG00000136536,48.2542
ENSPTRG00000003125,ENSG00000260716,47.9542
ENSPTRG00000021627,ENSG00000260320,49.2554
ENSPTRG00000021627,ENSG00000175634,48.3643
ENSPTRG00000028794,ENSG00000138449,48.3333
ENSPTRG00000022487,ENSG00000064989,48.3707
ENSPTRG00000018951,ENSG00000115828,49.2465
ENSPTRG00000000090,ENSG00000261297,48.1203
ENSPTRG00000005681,ENSG00000253276,48.8735
ENSPTRG00000031248,ENSG00000143889,49.1416
ENSPTRG00000017054,ENSG00000113966,47.6737
ENSPTRG00000005683,ENSG00000115267,48.7599
ENSPTRG00000030844,ENSG00000172830,48.0103
ENSPTRG00000022861,ENSG00000260384,46.7679
ENSPTRG00000041621,ENSG00000225556,48.2499
ENSPTRG00000040196,ENSG00000175463,47.9924
ENSPTRG00000016672,ENSG00000114859,48.1885
ENSPTRG00000018833,ENSG00000168497,49.6974
ENSPTRG00000016673,ENSG00000261678,46.726
ENSPTRG00000016674,ENSG00000146776,49.2254
ENSPTRG00000016677,ENSG00000261893,48.4193
ENSPTRG00000028688,ENSG00000260789,47.6458
ENSPTRG00000028788,ENSG00000123427,48.6344
ENSPTRG00000018855,ENSG00000163207,46.0152
ENSPTRG00000016680,ENSG00000261236,48.3613
ENSPTRG00000018856,ENSG00000261297,48.2378
ENSPTRG00000018857,ENSG00000143436,49.4148
ENSPTRG00000018858,ENSG00000260195,48.3918
ENSPTRG00000016682,ENSG00000260384,47.4293
ENSPTRG00000018859,ENSG00000238035,47.9544
ENSPTRG00000016685,ENSG00000175182,48.274
ENSPTRG00000018860,ENSG00000257961,48.2529
ENSPTRG00000016686,ENSG00000172830,47.6079
ENSPTRG00000016687,ENSG00000163157,48.1481
ENSPTRG00000016689,ENSG00000118600,49.0377
ENSPTRG00000039053,ENSG00000138068,50.5376
ENSPTRG00000016691,ENSG00000261577,47.2085
ENSPTRG00000018861,ENSG00000173621,48.1552
ENSPTRG00000016692,ENSG00000173621,47.7048
ENSPTRG00000018864,ENSG00000261539,48.6618
ENSPTRG00000016694,ENSG00000261698,47.8865
ENSPTRG00000018865,ENSG00000173621,46.6976
ENSPTRG00000016695,ENSG00000261042,47.9245
ENSPTRG00000018866,ENSG00000257961,48.4277
ENSPTRG00000016696,ENSG00000172508,46.5672
ENSPTRG00000016698,ENSG00000261539,48.9552
ENSPTRG00000018868,ENSG00000263310,47.4792
ENSPTRG00000016699,ENSG00000203782,47.4
ENSPTRG00000016701,ENSG00000090539,49.3777
ENSPTRG00000018869,ENSG00000260789,48.5532
ENSPTRG00000018870,ENSG00000261577,49.372
ENSPTRG00000016705,ENSG00000260717,49.1803
ENSPTRG00000016706,ENSG00000174547,48.155
ENSPTRG00000016706,ENSG00000174547,49.1651
ENSPTRG00000018871,ENSG00000260789,48.0257
ENSPTRG00000042236,ENSG00000138449,48.433
ENSPTRG00000016708,ENSG00000135454,48.7815
ENSPTRG00000028783,ENSG00000262972,48.4737
ENSPTRG00000016709,ENSG00000257961,47.7106
ENSPTRG00000016710,ENSG00000182580,49.3162
ENSPTRG00000018872,ENSG00000260383,48.3507
ENSPTRG00000018875,ENSG00000261539,47.5477
ENSPTRG00000018876,ENSG00000261297,47.1535
ENSPTRG00000016711,ENSG00000054219,49.3064
ENSPTRG00000018877,ENSG00000172508,47.6359
ENSPTRG00000016713,ENSG00000260952,49.7566
ENSPTRG00000033811,ENSG00000261587,48.8962
ENSPTRG00000016715,ENSG00000170854,49.3472
ENSPTRG00000018878,ENSG00000261042,48.1892
ENSPTRG00000016716,ENSG00000115232,49.1158
ENSPTRG00000016717,ENSG00000143367,49.6632
ENSPTRG00000018880,ENSG00000259816,46.0252
ENSPTRG00000018882,ENSG00000260164,50.0561
ENSPTRG00000034032,ENSG00000115233,49.097
ENSPTRG00000016720,ENSG00000163012,48.7042
ENSPTRG00000016721,ENSG00000138379,48.906
ENSPTRG00000016722,ENSG00000260178,48.6361
ENSPTRG00000016724,ENSG00000261846,49.3767
ENSPTRG00000019931,ENSG00000262562,42.6568
ENSPTRG00000040862,ENSG00000169469,49.0842
ENSPTRG00000018884,ENSG00000173621,47.4178
ENSPTRG00000019933,ENSG00000163012,49.1185
ENSPTRG00000016725,ENSG00000123297,49.0394
ENSPTRG00000018886,ENSG00000173898,48.1156
ENSPTRG00000019935,ENSG00000173992,48.6763
ENSPTRG00000018889,ENSG00000260596,46.7976
ENSPTRG00000018890,ENSG00000166148,49.1617
ENSPTRG00000018890,ENSG00000239306,49.1535
ENSPTRG00000019937,ENSG00000080224,49.159
ENSPTRG00000023452,ENSG00000259919,47.8782
ENSPTRG00000019941,ENSG00000159445,47.8879
ENSPTRG00000019942,ENSG00000143442,49.4656
ENSPTRG00000016726,ENSG00000113838,48.4245
ENSPTRG00000016727,ENSG00000005249,49.4807
ENSPTRG00000031045,ENSG00000260376,45.3739
ENSPTRG00000019944,ENSG00000260130,1.57905
ENSPTRG00000016728,ENSG00000143436,49.0233
ENSPTRG00000019945,ENSG00000261791,49.5415
ENSPTRG00000040452,ENSG00000136560,48.9664
ENSPTRG00000016729,ENSG00000260376,46.0606
ENSPTRG00000040212,ENSG00000143409,49.1057
ENSPTRG00000016731,ENSG00000144283,45.7106
ENSPTRG00000019946,ENSG00000153237,49.5561
ENSPTRG00000019947,ENSG00000135655,49.0244
ENSPTRG00000016734,ENSG00000118997,48.9641
ENSPTRG00000019949,ENSG00000115419,48.5025
ENSPTRG00000019950,ENSG00000262666,48.7234
ENSPTRG00000019951,ENSG00000261417,49.2375
ENSPTRG00000034369,ENSG00000185962,48.7879
ENSPTRG00000034369,ENSG00000260873,48.6395
ENSPTRG00000034369,ENSG00000196754,48.4346
ENSPTRG00000034369,ENSG00000187238,47.5248
