pongo_abelii,pan_troglodytes
23533,19384,2000
ENSPPYG00000020939,ENSPTRG00000040891,57.1429
ENSPPYG00000020937,ENSPTRG00000005783,48.5876
ENSPPYG00000020935,ENSPTRG00000031441,48.2026
ENSPPYG00000020933,ENSPTRG00000005670,48.2143
ENSPPYG00000020932,ENSPTRG00000028321,48.9712
ENSPPYG00000020930,ENSPTRG00000040941,50
ENSPPYG00000020928,ENSPTRG00000009883,49.1245
ENSPPYG00000020926,ENSPTRG00000034203,48.0315
ENSPPYG00000020924,ENSPTRG00000021857,11.1111
ENSPPYG00000020922,ENSPTRG00000041916,48.8889
ENSPPYG00000020920,ENSPTRG00000040333,51.0753
ENSPPYG00000020920,ENSPTRG00000033976,51.8519
ENSPPYG00000020918,ENSPTRG00000009893,48.8185
ENSPPYG00000020916,ENSPTRG00000040333,49.7076
ENSPPYG00000020914,ENSPTRG00000040333,48.5876
ENSPPYG00000020912,ENSPTRG00000041491,47.619
ENSPPYG00000020910,ENSPTRG00000017674,6.00601
ENSPPYG00000020908,ENSPTRG00000000124,48.8889
ENSPPYG00000020906,ENSPTRG00000005859,47.7744
ENSPPYG00000020904,ENSPTRG00000041690,49.1436
ENSPPYG00000020902,ENSPTRG00000018996,48.671
ENSPPYG00000020900,ENSPTRG00000022504,47.867
ENSPPYG00000020898,ENSPTRG00000009873,48.8132
ENSPPYG00000020896,ENSPTRG00000019953,54.8387
ENSPPYG00000020894,ENSPTRG00000030817,49.3333
ENSPPYG00000020892,ENSPTRG00000041924,48.6575
ENSPPYG00000020890,ENSPTRG00000031314,44.7514
ENSPPYG00000020888,ENSPTRG00000009873,44.9355
ENSPPYG00000020886,ENSPTRG00000042466,46.3492
ENSPPYG00000020884,ENSPTRG00000000017,47.3992
ENSPPYG00000020884,ENSPTRG00000014644,47.5078
ENSPPYG00000020882,ENSPTRG00000003199,47.9122
ENSPPYG00000020882,ENSPTRG00000042298,47.4747
ENSPPYG00000020880,ENSPTRG00000007549,47.5185
