homo_sapiens,macaca_mulatta
84818,35261,2000
ENSG00000259662,ENSMMUG00000032310,47.9839
ENSG00000258865,ENSMMUG00000032486,46.9945
ENSG00000261933,ENSMMUG00000009476,47.9735
ENSG00000255738,ENSMMUG00000002333,12.4294
ENSG00000227268,ENSMMUG00000032378,48.4171
ENSG00000263250,ENSMMUG00000009476,48.0663
ENSG00000224420,ENSMMUG00000002548,45.671
ENSG00000226894,ENSMMUG00000021937,48.7421
ENSG00000258664,ENSMMUG00000014161,50.2525
ENSG00000258518,ENSMMUG00000016469,47.6042
ENSG00000259741,ENSMMUG00000003778,48.4476
ENSG00000265969,ENSMMUG00000017243,48.3416
ENSG00000262355,ENSMMUG00000009050,48.3069
ENSG00000262972,ENSMMUG00000009015,46.875
ENSG00000263079,ENSMMUG00000010618,46.5784
ENSG00000264568,ENSMMUG00000032391,48.7455
ENSG00000266326,ENSMMUG00000003302,3.8109
ENSG00000266093,ENSMMUG00000003302,6.06061
ENSG00000264886,ENSMMUG00000032513,47.3684
ENSG00000198888,ENSMMUG00000013415,49.7908
ENSG00000198763,ENSMMUG00000016681,50.4798
ENSG00000198804,ENSMMUG00000001788,49.2218
ENSG00000198712,ENSMMUG00000020699,49.5614
ENSG00000228253,ENSMMUG00000004658,51.6908
ENSG00000198899,ENSMMUG00000020108,49.6329
ENSG00000198938,ENSMMUG00000005453,49.8724
ENSG00000198840,ENSMMUG00000014161,51.1561
ENSG00000212907,ENSMMUG00000012711,47.4747
ENSG00000198886,ENSMMUG00000023688,49.492
ENSG00000198786,ENSMMUG00000004336,49.6137
ENSG00000198695,ENSMMUG00000032365,51.0476
ENSG00000198727,ENSMMUG00000023022,49.518
ENSG00000162980,ENSMMUG00000017728,48.3665
ENSG00000162980,ENSMMUG00000021412,48.6783
ENSG00000162980,ENSMMUG00000021412,48.6774
ENSG00000175182,ENSMMUG00000005026,47.2659
ENSG00000175182,ENSMMUG00000005304,48.5577
ENSG00000175182,ENSMMUG00000018703,48.6576
ENSG00000175182,ENSMMUG00000032498,47.4695
ENSG00000175182,ENSMMUG00000008760,47.9064
ENSG00000175182,ENSMMUG00000012738,48.0782
ENSG00000175182,ENSMMUG00000032486,47.3025
ENSG00000175182,ENSMMUG00000017428,49.66
ENSG00000182389,ENSMMUG00000011498,49.4106
ENSG00000182389,ENSMMUG00000032510,48.3682
ENSG00000182389,ENSMMUG00000032508,48.785
ENSG00000182389,ENSMMUG00000016190,48.8392
ENSG00000182389,ENSMMUG00000009320,49.0986
ENSG00000182389,ENSMMUG00000008306,49.2109
ENSG00000182389,ENSMMUG00000004914,48.7136
ENSG00000182389,ENSMMUG00000016986,49.2976
ENSG00000182389,ENSMMUG00000011498,49.2737
ENSG00000114859,ENSMMUG00000000323,47.9027
ENSG00000114859,ENSMMUG00000000323,48.0389
ENSG00000114859,ENSMMUG00000018335,48.1878
ENSG00000114859,ENSMMUG00000008623,48.1915
ENSG00000114859,ENSMMUG00000000323,48.1962
ENSG00000115145,ENSMMUG00000017728,48.6055
ENSG00000157827,ENSMMUG00000012987,48.9865
ENSG00000157827,ENSMMUG00000021298,48.2182
ENSG00000163882,ENSMMUG00000005132,48.5572
ENSG00000163882,ENSMMUG00000032486,47.3684
ENSG00000163882,ENSMMUG00000017546,48.7928
ENSG00000163882,ENSMMUG00000018535,49.6962
ENSG00000163882,ENSMMUG00000015264,48.4901
ENSG00000163882,ENSMMUG00000021850,48.6989
ENSG00000163882,ENSMMUG00000016610,48.6726
ENSG00000163882,ENSMMUG00000010883,48.861
ENSG00000163882,ENSMMUG00000021850,48.7211
ENSG00000196504,ENSMMUG00000011498,49.9006
ENSG00000196504,ENSMMUG00000022849,48.8218
ENSG00000196504,ENSMMUG00000007924,48.5139
ENSG00000196504,ENSMMUG00000032498,48.3673
ENSG00000090534,ENSMMUG00000014033,49.0027
ENSG00000090534,ENSMMUG00000022140,48.1728
ENSG00000090534,ENSMMUG00000007939,49.0283
ENSG00000090539,ENSMMUG00000009151,48.0261
ENSG00000090539,ENSMMUG00000000323,47.8723
ENSG00000090539,ENSMMUG00000000323,47.7655
ENSG00000090539,ENSMMUG00000021258,47.8343
ENSG00000090539,ENSMMUG00000017277,48.0284
ENSG00000177917,ENSMMUG00000023604,49.4131
ENSG00000159377,ENSMMUG00000018590,48.7552
ENSG00000177519,ENSMMUG00000003296,49.4901
ENSG00000144278,ENSMMUG00000017728,48.8801
ENSG00000144278,ENSMMUG00000032498,48.8235
ENSG00000144278,ENSMMUG00000000457,47.0475
ENSG00000144278,ENSMMUG00000020152,49.1749
ENSG00000144278,ENSMMUG00000032353,48.2955
ENSG00000144278,ENSMMUG00000014382,48.503
