macaca_mulatta,homo_sapiens
35261,84818,2000
ENSMMUG00000032574,ENSG00000144395,48.9112
ENSMMUG00000016681,ENSG00000163216,48.0403
ENSMMUG00000016679,ENSG00000258865,48.4663
ENSMMUG00000003485,ENSG00000143376,49.3042
ENSMMUG00000003485,ENSG00000055332,48.8206
ENSMMUG00000011961,ENSG00000115841,49.5726
ENSMMUG00000004032,ENSG00000225556,48.5847
ENSMMUG00000004032,ENSG00000261678,47.9592
ENSMMUG00000002512,ENSG00000262840,49.5193
ENSMMUG00000002512,ENSG00000115841,48.5628
ENSMMUG00000002512,ENSG00000091140,48.6552
ENSMMUG00000002512,ENSG00000115221,49.2769
ENSMMUG00000006800,ENSG00000162980,48.8106
ENSMMUG00000021992,ENSG00000163904,49.4152
ENSMMUG00000021855,ENSG00000136541,49.5597
ENSMMUG00000021853,ENSG00000144366,48.0769
ENSMMUG00000023284,ENSG00000182134,49.531
ENSMMUG00000023284,ENSG00000075790,49.2785
ENSMMUG00000023281,ENSG00000184220,49.0196
ENSMMUG00000021125,ENSG00000182134,49.6366
ENSMMUG00000021125,ENSG00000111490,49.5286
ENSMMUG00000032572,ENSG00000261456,39.851
ENSMMUG00000021126,ENSG00000261678,47.9692
ENSMMUG00000021126,ENSG00000196154,47.6119
ENSMMUG00000014935,ENSG00000262773,48.128
ENSMMUG00000014935,ENSG00000150722,49.0393
ENSMMUG00000014935,ENSG00000075790,48.046
ENSMMUG00000023726,ENSG00000075790,48.3269
ENSMMUG00000023726,ENSG00000064989,48.2094
ENSMMUG00000023726,ENSG00000169855,47.7178
ENSMMUG00000023726,ENSG00000057019,48.2804
ENSMMUG00000004221,ENSG00000198673,49.4925
ENSMMUG00000019059,ENSG00000260789,48.0545
ENSMMUG00000019061,ENSG00000115415,49.8349
ENSMMUG00000019061,ENSG00000119787,49.4732
ENSMMUG00000019062,ENSG00000263250,49.7979
ENSMMUG00000032571,ENSG00000263140,49.3902
ENSMMUG00000011466,ENSG00000153250,48.9952
ENSMMUG00000011466,ENSG00000144395,48.9939
ENSMMUG00000011467,ENSG00000262742,49.7033
ENSMMUG00000011467,ENSG00000260770,49.4565
ENSMMUG00000011467,ENSG00000091137,49.6433
ENSMMUG00000011467,ENSG00000144366,49.8396
ENSMMUG00000011467,ENSG00000091137,49.5828
ENSMMUG00000023179,ENSG00000169474,49.0956
ENSMMUG00000010471,ENSG00000175505,49.4728
ENSMMUG00000010471,ENSG00000203782,48.3007
ENSMMUG00000010471,ENSG00000260770,48.8121
ENSMMUG00000000682,ENSG00000136536,48.9394
ENSMMUG00000000682,ENSG00000144395,47.6395
ENSMMUG00000011772,ENSG00000163218,48.9095
ENSMMUG00000015014,ENSG00000262249,48.7395
ENSMMUG00000015014,ENSG00000262327,48.2812
ENSMMUG00000015013,ENSG00000163216,49.1614
ENSMMUG00000005692,ENSG00000198130,48.6906
ENSMMUG00000000551,ENSG00000260195,47.8261
ENSMMUG00000019525,ENSG00000144290,49.0518
ENSMMUG00000019525,ENSG00000163898,49.8258
ENSMMUG00000019521,ENSG00000215853,49.8932
ENSMMUG00000019521,ENSG00000182134,49.7476
