pan_troglodytes,pongo_abelii
19384,23533,2000
ENSPTRG00000000102,ENSPPYG00000019193,48.4375
ENSPTRG00000018957,ENSPPYG00000020605,48.6345
ENSPTRG00000003141,ENSPPYG00000019794,48.1352
ENSPTRG00000003154,ENSPPYG00000020258,45.6859
ENSPTRG00000005696,ENSPPYG00000019265,47.6866
ENSPTRG00000017695,ENSPPYG00000018659,48
ENSPTRG00000013793,ENSPPYG00000017921,48.4971
ENSPTRG00000013792,ENSPPYG00000017859,48.5109
ENSPTRG00000003144,ENSPPYG00000019912,47.9905
ENSPTRG00000005693,ENSPPYG00000020483,49.0587
ENSPTRG00000005692,ENSPPYG00000018483,48.9054
ENSPTRG00000017038,ENSPPYG00000017859,48.2447
ENSPTRG00000018949,ENSPPYG00000019265,49.1255
ENSPTRG00000003142,ENSPPYG00000018159,47.4242
ENSPTRG00000000101,ENSPPYG00000017651,49.8145
ENSPTRG00000024151,ENSPPYG00000018567,43.7388
ENSPTRG00000000104,ENSPPYG00000019880,47.7028
ENSPTRG00000017043,ENSPPYG00000018597,48.3804
ENSPTRG00000017043,ENSPPYG00000018597,48.2667
ENSPTRG00000000111,ENSPPYG00000019247,46.2519
ENSPTRG00000029128,ENSPPYG00000017575,45.4068
ENSPTRG00000005694,ENSPPYG00000019634,48.0588
ENSPTRG00000000103,ENSPPYG00000020162,49.2337
ENSPTRG00000000109,ENSPPYG00000019988,48.2122
ENSPTRG00000003153,ENSPPYG00000019988,47.6094
ENSPTRG00000020055,ENSPPYG00000019598,48.2148
ENSPTRG00000024170,ENSPPYG00000018459,49.2992
ENSPTRG00000005690,ENSPPYG00000017949,49.6813
ENSPTRG00000017031,ENSPPYG00000019966,48.9911
ENSPTRG00000017031,ENSPPYG00000019966,49.2253
ENSPTRG00000003126,ENSPPYG00000019810,46.2418
ENSPTRG00000020052,ENSPPYG00000018415,13.0901
ENSPTRG00000022488,ENSPPYG00000020603,48.5288
ENSPTRG00000005684,ENSPPYG00000019063,48.1258
ENSPTRG00000020053,ENSPPYG00000017466,48.0323
ENSPTRG00000000091,ENSPPYG00000019826,45.3125
ENSPTRG00000017053,ENSPPYG00000019165,49.1639
ENSPTRG00000028769,ENSPPYG00000017706,47.9087
ENSPTRG00000000092,ENSPPYG00000018371,49.3139
ENSPTRG00000028763,ENSPPYG00000019041,48.5488
ENSPTRG00000003128,ENSPPYG00000018009,45.5628
ENSPTRG00000003129,ENSPPYG00000019830,47.6804
ENSPTRG00000000093,ENSPPYG00000020454,48.3346
ENSPTRG00000020054,ENSPPYG00000018417,39.3044
ENSPTRG00000005685,ENSPPYG00000020276,48.7318
ENSPTRG00000017052,ENSPPYG00000017575,45.2656
ENSPTRG00000017050,ENSPPYG00000018483,48.9686
ENSPTRG00000000094,ENSPPYG00000020860,48.6937
ENSPTRG00000000096,ENSPPYG00000020858,48.6957
ENSPTRG00000017049,ENSPPYG00000019952,30.5556
ENSPTRG00000022489,ENSPPYG00000020270,37.0109
ENSPTRG00000022489,ENSPPYG00000020438,49.4923
ENSPTRG00000017048,ENSPPYG00000018483,47.8093
ENSPTRG00000003130,ENSPPYG00000019758,46.6272
ENSPTRG00000018952,ENSPPYG00000018383,48.6316
ENSPTRG00000003132,ENSPPYG00000019752,48.5853
ENSPTRG00000017047,ENSPPYG00000019247,48.5935
ENSPTRG00000000089,ENSPPYG00000018053,48.8356
ENSPTRG00000042501,ENSPPYG00000020675,47.8452
ENSPTRG00000028653,ENSPPYG00000019427,48.3458
ENSPTRG00000017042,ENSPPYG00000018725,48.2587
ENSPTRG00000000106,ENSPPYG00000019537,50.1708
ENSPTRG00000020056,ENSPPYG00000018419,37.114
ENSPTRG00000003143,ENSPPYG00000019788,47.9136
ENSPTRG00000013785,ENSPPYG00000019265,48.4069
ENSPTRG00000003137,ENSPPYG00000019778,48.7755
ENSPTRG00000003138,ENSPPYG00000019123,47.6388
ENSPTRG00000017044,ENSPPYG00000018035,49.2118
ENSPTRG00000017044,ENSPPYG00000020134,49.401
ENSPTRG00000018954,ENSPPYG00000017760,34.9333
ENSPTRG00000005687,ENSPPYG00000018807,48.8584
ENSPTRG00000000100,ENSPPYG00000017575,47.8166
ENSPTRG00000003139,ENSPPYG00000018939,46.6379
ENSPTRG00000018955,ENSPPYG00000017758,24.0819
ENSPTRG00000003140,ENSPPYG00000019988,46.9375
ENSPTRG00000018953,ENSPPYG00000020228,48.9869
ENSPTRG00000000098,ENSPPYG00000020729,48.754
ENSPTRG00000000099,ENSPPYG00000018407,49.4794
ENSPTRG00000023465,ENSPPYG00000019620,46.952
ENSPTRG00000004015,ENSPPYG00000020050,29.5676
ENSPTRG00000005691,ENSPPYG00000020428,49.9729
ENSPTRG00000022613,ENSPPYG00000020545,49.1749
ENSPTRG00000018959,ENSPPYG00000019455,49.4113
ENSPTRG00000023446,ENSPPYG00000020116,48.0732
ENSPTRG00000013791,ENSPPYG00000019970,48.209
ENSPTRG00000017039,ENSPPYG00000019137,47.5073
ENSPTRG00000017039,ENSPPYG00000017575,46.3977
ENSPTRG00000017041,ENSPPYG00000017530,48.7134
ENSPTRG00000013790,ENSPPYG00000017530,48.4712
ENSPTRG00000028760,ENSPPYG00000020050,22.5352
ENSPTRG00000028760,ENSPPYG00000020050,26.7025
ENSPTRG00000042077,ENSPPYG00000019419,45.73
ENSPTRG00000013786,ENSPPYG00000019265,48.1462
ENSPTRG00000003160,ENSPPYG00000019810,46.3378
ENSPTRG00000005695,ENSPPYG00000020485,44.7531
ENSPTRG00000003123,ENSPPYG00000019988,45.5199
ENSPTRG00000040750,ENSPPYG00000020050,23.4277
ENSPTRG00000017032,ENSPPYG00000019247,48.9537
ENSPTRG00000022501,ENSPPYG00000018763,48.6994
ENSPTRG00000018950,ENSPPYG00000017764,48.1365
ENSPTRG00000003125,ENSPPYG00000017452,47.9542
ENSPTRG00000021627,ENSPPYG00000020094,37.858
ENSPTRG00000021627,ENSPPYG00000019650,48.4527
ENSPTRG00000028794,ENSPPYG00000017575,46.3889
ENSPTRG00000022487,ENSPPYG00000018857,48.5244
ENSPTRG00000018951,ENSPPYG00000018629,48.9774
ENSPTRG00000000090,ENSPPYG00000017993,48.1919
ENSPTRG00000005681,ENSPPYG00000018827,49.5282
ENSPTRG00000031248,ENSPPYG00000020613,48.8841
ENSPTRG00000017054,ENSPPYG00000019265,47.6133
ENSPTRG00000005683,ENSPPYG00000019265,49.5555
ENSPTRG00000030844,ENSPPYG00000017458,48.0958
ENSPTRG00000022861,ENSPPYG00000019880,47.115
ENSPTRG00000041621,ENSPPYG00000019768,47.7625
ENSPTRG00000040196,ENSPPYG00000017504,47.5621
ENSPTRG00000016672,ENSPPYG00000019788,48.0795
ENSPTRG00000018833,ENSPPYG00000019257,49.2436
ENSPTRG00000016673,ENSPPYG00000018985,45.391
ENSPTRG00000016674,ENSPPYG00000019247,48.3099
ENSPTRG00000016677,ENSPPYG00000019547,48.6689
ENSPTRG00000028688,ENSPPYG00000018983,47.0836
ENSPTRG00000028788,ENSPPYG00000019684,47.8414
ENSPTRG00000018855,ENSPPYG00000019624,46.696
ENSPTRG00000016680,ENSPPYG00000019624,48.0335
ENSPTRG00000018856,ENSPPYG00000017993,48.3802
ENSPTRG00000018857,ENSPPYG00000019247,48.1144
ENSPTRG00000018858,ENSPPYG00000020890,47.076
ENSPTRG00000016682,ENSPPYG00000020852,47.0009
ENSPTRG00000018859,ENSPPYG00000019988,46.7471
ENSPTRG00000016685,ENSPPYG00000019790,48.3271
ENSPTRG00000018860,ENSPPYG00000018189,48.4526
ENSPTRG00000016686,ENSPPYG00000020342,47.7083
ENSPTRG00000016687,ENSPPYG00000020924,47.9938
ENSPTRG00000016689,ENSPPYG00000019511,49.0795
ENSPTRG00000039053,ENSPPYG00000018441,50
ENSPTRG00000016691,ENSPPYG00000019614,46.9622
ENSPTRG00000018861,ENSPPYG00000017504,47.5803
ENSPTRG00000016692,ENSPPYG00000019880,47.4045
ENSPTRG00000018864,ENSPPYG00000019115,48.5158
ENSPTRG00000016694,ENSPPYG00000020258,47.2222
ENSPTRG00000018865,ENSPPYG00000019738,47.4942
ENSPTRG00000016695,ENSPPYG00000017504,47.6415
ENSPTRG00000018866,ENSPPYG00000018155,48.0636
ENSPTRG00000016696,ENSPPYG00000019598,47.1642
ENSPTRG00000016698,ENSPPYG00000018415,48.6567
ENSPTRG00000018868,ENSPPYG00000019736,48.3542
ENSPTRG00000016699,ENSPPYG00000019988,47.3333
ENSPTRG00000016701,ENSPPYG00000019083,49.5809
ENSPTRG00000018869,ENSPPYG00000020858,48.5532
ENSPTRG00000018870,ENSPPYG00000018925,49.5547
ENSPTRG00000016705,ENSPPYG00000020753,49.5082
ENSPTRG00000016706,ENSPPYG00000019976,48.893
ENSPTRG00000016706,ENSPPYG00000019976,49.3506
ENSPTRG00000018871,ENSPPYG00000019756,47.9339
ENSPTRG00000042236,ENSPPYG00000017575,47.8632
ENSPTRG00000016708,ENSPPYG00000019880,48.6075
ENSPTRG00000028783,ENSPPYG00000018949,47.8632
ENSPTRG00000016709,ENSPPYG00000020258,47.4845
ENSPTRG00000016710,ENSPPYG00000019736,48.9743
ENSPTRG00000018872,ENSPPYG00000020880,48.5465
ENSPTRG00000018875,ENSPPYG00000018167,46.8665
ENSPTRG00000018876,ENSPPYG00000017458,46.5759
ENSPTRG00000016711,ENSPPYG00000019201,49.2448
ENSPTRG00000018877,ENSPPYG00000019788,47.2554
ENSPTRG00000016713,ENSPPYG00000020838,49.3671
ENSPTRG00000033811,ENSPPYG00000019752,49.1415
ENSPTRG00000016715,ENSPPYG00000018481,49.4362
ENSPTRG00000018878,ENSPPYG00000019880,48.6579
ENSPTRG00000016716,ENSPPYG00000018389,49.5579
ENSPTRG00000016717,ENSPPYG00000018925,49.9741
ENSPTRG00000018880,ENSPPYG00000017530,46.0494
ENSPTRG00000018882,ENSPPYG00000018411,49.8542
ENSPTRG00000034032,ENSPPYG00000017716,49.433
ENSPTRG00000016720,ENSPPYG00000017967,48.7454
ENSPTRG00000016721,ENSPPYG00000020162,49.0909
ENSPTRG00000016722,ENSPPYG00000019598,48.6361
ENSPTRG00000016724,ENSPPYG00000017545,49.1599
ENSPTRG00000019931,ENSPPYG00000018989,45.6564
ENSPTRG00000040862,ENSPPYG00000018333,48.3516
ENSPTRG00000018884,ENSPPYG00000017993,47.5623
ENSPTRG00000019933,ENSPPYG00000019511,49.2415
ENSPTRG00000016725,ENSPPYG00000017881,48.7361
ENSPTRG00000018886,ENSPPYG00000019840,50.2531
ENSPTRG00000019935,ENSPPYG00000018213,48.9325
ENSPTRG00000018889,ENSPPYG00000018973,47.0781
ENSPTRG00000018890,ENSPPYG00000018191,49.2699
ENSPTRG00000018890,ENSPPYG00000018191,49.1535
ENSPTRG00000019937,ENSPPYG00000019247,48.318
ENSPTRG00000023452,ENSPPYG00000018305,7.28953
ENSPTRG00000019941,ENSPPYG00000019634,48.972
ENSPTRG00000019942,ENSPPYG00000020372,48.8804
ENSPTRG00000016726,ENSPPYG00000017935,48.9221
ENSPTRG00000016727,ENSPPYG00000018813,49.6538
ENSPTRG00000031045,ENSPPYG00000018311,9.12548
ENSPTRG00000019944,ENSPPYG00000018973,49.0706
ENSPTRG00000016728,ENSPPYG00000019944,48.186
ENSPTRG00000019945,ENSPPYG00000018313,42.1167
ENSPTRG00000040452,ENSPPYG00000018647,49.0956
