gorilla_gorilla,macaca_mulatta
27473,35261,2000
ENSGGOG00000026262,ENSMMUG00000032357,49.1607
ENSGGOG00000027893,ENSMMUG00000032486,45.6865
ENSGGOG00000009486,ENSMMUG00000005304,47.9367
ENSGGOG00000023986,ENSMMUG00000032397,47.6703
ENSGGOG00000025775,ENSMMUG00000004658,50.2825
ENSGGOG00000022293,ENSMMUG00000018480,50.9259
ENSGGOG00000027653,ENSMMUG00000032542,46.7593
ENSGGOG00000027804,ENSMMUG00000032314,54.5455
ENSGGOG00000023282,ENSMMUG00000008624,47.3333
ENSGGOG00000013094,ENSMMUG00000019168,50.2825
ENSGGOG00000012194,ENSMMUG00000004051,53.9007
ENSGGOG00000028583,ENSMMUG00000002548,48.5507
ENSGGOG00000027005,ENSMMUG00000000379,48.3019
ENSGGOG00000023779,ENSMMUG00000002333,48.554
ENSGGOG00000028121,ENSMMUG00000032543,49.5614
ENSGGOG00000023233,ENSMMUG00000013213,47.2482
ENSGGOG00000026005,ENSMMUG00000003561,48.6603
ENSGGOG00000001305,ENSMMUG00000015264,47.5567
ENSGGOG00000023866,ENSMMUG00000000497,50.214
ENSGGOG00000026410,ENSMMUG00000013213,47.6008
ENSGGOG00000022055,ENSMMUG00000013213,48.0171
ENSGGOG00000000052,ENSMMUG00000009476,48.3178
ENSGGOG00000026663,ENSMMUG00000004336,49.4465
ENSGGOG00000025745,ENSMMUG00000001788,49.5771
ENSGGOG00000005680,ENSMMUG00000002493,46.588
ENSGGOG00000022327,ENSMMUG00000032525,48.6618
ENSGGOG00000009969,ENSMMUG00000016290,48.8704
ENSGGOG00000002291,ENSMMUG00000007583,48.4848
ENSGGOG00000022771,ENSMMUG00000012073,46.5201
ENSGGOG00000023040,ENSMMUG00000013213,46.1376
ENSGGOG00000023889,ENSMMUG00000005616,41.7582
ENSGGOG00000023628,ENSMMUG00000013590,46.2585
ENSGGOG00000010021,ENSMMUG00000013213,46.8783
ENSGGOG00000024019,ENSMMUG00000012379,12.754
ENSGGOG00000010600,ENSMMUG00000032421,47.6886
ENSGGOG00000006560,ENSMMUG00000013213,47.4649
ENSGGOG00000013541,ENSMMUG00000013327,48.7332
ENSGGOG00000004227,ENSMMUG00000013213,48.0645
ENSGGOG00000001922,ENSMMUG00000018480,51.7007
ENSGGOG00000027910,ENSMMUG00000032571,5.59006
ENSGGOG00000024350,ENSMMUG00000003317,49.0524
ENSGGOG00000012977,ENSMMUG00000006241,48.254
ENSGGOG00000010748,ENSMMUG00000009476,47.7695
ENSGGOG00000023122,ENSMMUG00000004051,45.1852
ENSGGOG00000008684,ENSMMUG00000018066,49.1409
ENSGGOG00000003214,ENSMMUG00000013213,45.5748
ENSGGOG00000002017,ENSMMUG00000000682,49.1692
ENSGGOG00000027094,ENSMMUG00000009402,47.9167
ENSGGOG00000003839,ENSMMUG00000013213,46.9602
ENSGGOG00000000247,ENSMMUG00000023689,7.04365
ENSGGOG00000013412,ENSMMUG00000000551,48.4749
ENSGGOG00000024115,ENSMMUG00000012739,48.2866
ENSGGOG00000009907,ENSMMUG00000001612,48.7294
ENSGGOG00000025049,ENSMMUG00000020066,48.2821
ENSGGOG00000023747,ENSMMUG00000032338,49.1582
ENSGGOG00000007560,ENSMMUG00000001114,48.6639
ENSGGOG00000003752,ENSMMUG00000032497,47.9798
ENSGGOG00000027719,ENSMMUG00000004335,48.1481
ENSGGOG00000028529,ENSMMUG00000032419,48.6618
ENSGGOG00000026041,ENSMMUG00000016298,50.5556
ENSGGOG00000010369,ENSMMUG00000005304,47.9191
ENSGGOG00000006464,ENSMMUG00000006111,50.1418
ENSGGOG00000006566,ENSMMUG00000016291,48.4702
ENSGGOG00000027049,ENSMMUG00000005616,42.2222
ENSGGOG00000005030,ENSMMUG00000032547,53.3333
ENSGGOG00000025614,ENSMMUG00000018703,49.113
ENSGGOG00000010080,ENSMMUG00000032385,49.2424
ENSGGOG00000004029,ENSMMUG00000014161,48.6216
ENSGGOG00000000720,ENSMMUG00000001612,48.9731
ENSGGOG00000015011,ENSMMUG00000017258,1.9019
ENSGGOG00000004849,ENSMMUG00000019573,48.8889
ENSGGOG00000022513,ENSMMUG00000032463,8.95692
ENSGGOG00000023229,ENSMMUG00000032507,47.9885
ENSGGOG00000027052,ENSMMUG00000032533,53.8462
ENSGGOG00000024200,ENSMMUG00000023018,48.2967
ENSGGOG00000027513,ENSMMUG00000011961,49.4253
ENSGGOG00000023163,ENSMMUG00000001689,49.2997
ENSGGOG00000027224,ENSMMUG00000032314,56.5217
ENSGGOG00000023802,ENSMMUG00000032533,58.6667
ENSGGOG00000024978,ENSMMUG00000007939,6.78149
ENSGGOG00000023191,ENSMMUG00000012610,7.29783
