homo_sapiens,gorilla_gorilla
84818,27473,2000
ENSG00000259662,ENSGGOG00000003617,46.1022
ENSG00000258865,ENSGGOG00000015406,45.9016
ENSG00000261933,ENSGGOG00000000700,48.0562
ENSG00000255738,ENSGGOG00000021980,47.7401
ENSG00000227268,ENSGGOG00000025668,1.30354
ENSG00000263250,ENSGGOG00000008435,48.1584
ENSG00000224420,ENSGGOG00000000099,46.1039
ENSG00000226894,ENSGGOG00000016327,47.4843
ENSG00000258664,ENSGGOG00000024733,48.4848
ENSG00000258518,ENSGGOG00000027494,46.9792
ENSG00000259741,ENSGGOG00000022136,48.8576
ENSG00000265969,ENSGGOG00000007378,48.2587
ENSG00000262355,ENSGGOG00000000224,48.836
ENSG00000262972,ENSGGOG00000027604,44.9405
ENSG00000263079,ENSGGOG00000024843,45.0331
ENSG00000264568,ENSGGOG00000022284,48.9247
ENSG00000266326,ENSGGOG00000028442,49.1076
ENSG00000266093,ENSGGOG00000007886,47.7273
ENSG00000264886,ENSGGOG00000028062,46.1153
ENSG00000198888,ENSGGOG00000022681,10.5649
ENSG00000198763,ENSGGOG00000026243,12.7639
ENSG00000198804,ENSGGOG00000023924,11.0246
ENSG00000198712,ENSGGOG00000028325,11.9883
ENSG00000228253,ENSGGOG00000023589,11.5942
ENSG00000198899,ENSGGOG00000025370,11.7474
ENSG00000198938,ENSGGOG00000023107,10.9694
ENSG00000198840,ENSGGOG00000026757,12.7168
ENSG00000212907,ENSGGOG00000023000,9.09091
ENSG00000198886,ENSGGOG00000025053,11.3208
ENSG00000198786,ENSGGOG00000022688,14.2384
ENSG00000198695,ENSGGOG00000026221,9.33333
ENSG00000198727,ENSGGOG00000024015,12.4452
ENSG00000162980,ENSGGOG00000000118,48.8359
ENSG00000162980,ENSGGOG00000014852,48.8843
ENSG00000162980,ENSGGOG00000014852,48.8835
ENSG00000175182,ENSGGOG00000015635,46.8165
ENSG00000175182,ENSGGOG00000011720,48.6178
ENSG00000175182,ENSGGOG00000003587,48.5337
ENSG00000175182,ENSGGOG00000025946,47.2949
ENSG00000175182,ENSGGOG00000016493,47.6601
ENSG00000175182,ENSGGOG00000010879,47.5388
ENSG00000175182,ENSGGOG00000023870,46.7245
ENSG00000175182,ENSGGOG00000010169,49.8776
ENSG00000182389,ENSGGOG00000010082,48.7334
ENSG00000182389,ENSGGOG00000026860,48.7579
ENSG00000182389,ENSGGOG00000026860,48.785
ENSG00000182389,ENSGGOG00000016192,48.9707
ENSG00000182389,ENSGGOG00000009780,49.2577
ENSG00000182389,ENSGGOG00000013589,49.0674
ENSG00000182389,ENSGGOG00000025434,48.3705
ENSG00000182389,ENSGGOG00000016192,49.6169
ENSG00000182389,ENSGGOG00000010082,48.7523
ENSG00000114859,ENSGGOG00000005626,47.4772
ENSG00000114859,ENSGGOG00000008892,47.6624
ENSG00000114859,ENSGGOG00000007745,48.0152
ENSG00000114859,ENSGGOG00000011619,48.2979
ENSG00000114859,ENSGGOG00000008892,47.7848
ENSG00000115145,ENSGGOG00000001822,48.816
ENSG00000157827,ENSGGOG00000000118,48.6996
ENSG00000157827,ENSGGOG00000022961,49.0406
ENSG00000163882,ENSGGOG00000003281,48.8901
ENSG00000163882,ENSGGOG00000016493,47.2488
ENSG00000163882,ENSGGOG00000024978,49.3964
ENSG00000163882,ENSGGOG00000015406,48.8457
ENSG00000163882,ENSGGOG00000015878,49.094
ENSG00000163882,ENSGGOG00000013841,48.9467
ENSG00000163882,ENSGGOG00000027842,48.6726
ENSG00000163882,ENSGGOG00000009720,49.0888
ENSG00000163882,ENSGGOG00000024500,49.3301
ENSG00000196504,ENSGGOG00000004061,49.1054
ENSG00000196504,ENSGGOG00000001828,48.6009
ENSG00000196504,ENSGGOG00000028282,47.8428
ENSG00000196504,ENSGGOG00000016528,48.7755
ENSG00000090534,ENSGGOG00000002811,49.2722
ENSG00000090534,ENSGGOG00000002363,48.3721
ENSG00000090534,ENSGGOG00000015878,47.9682
ENSG00000090539,ENSGGOG00000005626,47.7705
ENSG00000090539,ENSGGOG00000005626,47.5768
ENSG00000090539,ENSGGOG00000008892,47.1632
ENSG00000090539,ENSGGOG00000024843,45.3861
ENSG00000090539,ENSGGOG00000025789,48.3044
ENSG00000177917,ENSGGOG00000028402,48.8261
ENSG00000159377,ENSGGOG00000022105,48.9627
ENSG00000177519,ENSGGOG00000006624,49.0823
ENSG00000144278,ENSGGOG00000000118,48.6272
ENSG00000144278,ENSGGOG00000027653,50
ENSG00000144278,ENSGGOG00000027844,49.0544
ENSG00000144278,ENSGGOG00000027924,48.0198
ENSG00000144278,ENSGGOG00000005419,48.6742
ENSG00000144278,ENSGGOG00000027924,49.1018
ENSG00000143442,ENSGGOG00000014223,49.9837
ENSG00000143442,ENSGGOG00000012110,49.8189
ENSG00000143442,ENSGGOG00000014223,49.967
ENSG00000143442,ENSGGOG00000017107,49.4286
ENSG00000143442,ENSGGOG00000001478,49.581
ENSG00000143442,ENSGGOG00000023813,49.0557
ENSG00000143442,ENSGGOG00000023107,49.1043
ENSG00000143442,ENSGGOG00000023342,48.3636
ENSG00000143442,ENSGGOG00000028050,46.9283
ENSG00000143442,ENSGGOG00000025666,43.9673
ENSG00000143442,ENSGGOG00000000516,48.2412
ENSG00000143442,ENSGGOG00000012110,49.8916
ENSG00000143442,ENSGGOG00000012775,49.2609
ENSG00000143375,ENSGGOG00000023355,47.695
ENSG00000143375,ENSGGOG00000025946,48.5569
ENSG00000143375,ENSGGOG00000000513,47.9368
ENSG00000143375,ENSGGOG00000005224,49.0277
ENSG00000143375,ENSGGOG00000014859,45.4315
ENSG00000143367,ENSGGOG00000015520,46.9945
ENSG00000143367,ENSGGOG00000015520,46.7413
ENSG00000143367,ENSGGOG00000015520,46.8183
ENSG00000143367,ENSGGOG00000015520,46.7439
ENSG00000143367,ENSGGOG00000014663,48.5003
ENSG00000143376,ENSGGOG00000001822,49.6798
ENSG00000143376,ENSGGOG00000002484,50.1459
ENSG00000143376,ENSGGOG00000015345,49.0061
ENSG00000159409,ENSGGOG00000003587,48.9936
ENSG00000159409,ENSGGOG00000005626,48.7061
ENSG00000159409,ENSGGOG00000001407,48.9362
ENSG00000159409,ENSGGOG00000003700,47.218
ENSG00000178796,ENSGGOG00000025535,47.6615
ENSG00000240510,ENSGGOG00000004206,49.4318
ENSG00000143436,ENSGGOG00000005082,49.537
ENSG00000143436,ENSGGOG00000022517,49.2063
ENSG00000143450,ENSGGOG00000012466,48.4706
ENSG00000143450,ENSGGOG00000000720,49.1084
ENSG00000143450,ENSGGOG00000025049,50.1583
ENSG00000143450,ENSGGOG00000009907,48.9842
ENSG00000143450,ENSGGOG00000026151,47.9624
ENSG00000143450,ENSGGOG00000012466,48.4706
ENSG00000182134,ENSGGOG00000016192,48.6626
ENSG00000182134,ENSGGOG00000010070,48.6609
ENSG00000182134,ENSGGOG00000015441,49.2564
ENSG00000182134,ENSGGOG00000028407,49.0731
ENSG00000182134,ENSGGOG00000012775,49.0139
ENSG00000182134,ENSGGOG00000010070,49.0246
ENSG00000182134,ENSGGOG00000024167,48.7676
ENSG00000182134,ENSGGOG00000028132,48.5888
ENSG00000162989,ENSGGOG00000014267,49.6714
ENSG00000162989,ENSGGOG00000012953,48.5845
ENSG00000153234,ENSGGOG00000027814,50.144
ENSG00000153234,ENSGGOG00000006928,49.8864
ENSG00000153234,ENSGGOG00000015118,49.7568
ENSG00000153234,ENSGGOG00000016198,49.2795
ENSG00000153234,ENSGGOG00000012003,48.7588
ENSG00000153234,ENSGGOG00000028350,49.4432
ENSG00000153234,ENSGGOG00000001891,47.6238
ENSG00000153234,ENSGGOG00000025199,47.7352
ENSG00000153234,ENSGGOG00000010848,49.2901
ENSG00000213171,ENSGGOG00000025400,49.4229
ENSG00000143365,ENSGGOG00000005626,48.8197
ENSG00000143365,ENSGGOG00000023972,48.0275
ENSG00000143365,ENSGGOG00000003587,47.4635
ENSG00000224153,ENSGGOG00000024900,48.9266
ENSG00000225556,ENSGGOG00000001083,46.7843
ENSG00000182580,ENSGGOG00000000082,46.813
ENSG00000196407,ENSGGOG00000028263,49.1011
ENSG00000196407,ENSGGOG00000016620,48.1297
ENSG00000159445,ENSGGOG00000013016,49.3479
ENSG00000159445,ENSGGOG00000022382,49.9222
ENSG00000115159,ENSGGOG00000023325,48.9035
ENSG00000115159,ENSGGOG00000016777,48.9398
ENSG00000115159,ENSGGOG00000010070,49.0435
ENSG00000115159,ENSGGOG00000016192,49.103
ENSG00000115159,ENSGGOG00000022136,48.8526
ENSG00000115159,ENSGGOG00000013016,48.6333
ENSG00000197747,ENSGGOG00000023442,49.8336
ENSG00000197747,ENSGGOG00000028036,49.513
ENSG00000163191,ENSGGOG00000025946,48.4848
ENSG00000182898,ENSGGOG00000014989,48.7649
ENSG00000177383,ENSGGOG00000011253,47.6502
ENSG00000159450,ENSGGOG00000011755,49.1304
ENSG00000215853,ENSGGOG00000014989,48.7532
ENSG00000156931,ENSGGOG00000012676,49.2117
ENSG00000156931,ENSGGOG00000012676,49.1845
ENSG00000156931,ENSGGOG00000024500,48.4587
ENSG00000156931,ENSGGOG00000027844,48.8983
ENSG00000156931,ENSGGOG00000028067,49.7731
ENSG00000156931,ENSGGOG00000028529,48.6339
