macaca_mulatta,pongo_abelii
35261,23533,2000
ENSMMUG00000032574,ENSPPYG00000019459,45.8124
ENSMMUG00000016681,ENSPPYG00000020868,48.0403
ENSMMUG00000016679,ENSPPYG00000018123,47.137
ENSMMUG00000003485,ENSPPYG00000019247,48.6415
ENSMMUG00000003485,ENSPPYG00000020900,48.5464
ENSMMUG00000011961,ENSPPYG00000019960,49.2063
ENSMMUG00000004032,ENSPPYG00000019529,48.3063
ENSMMUG00000004032,ENSPPYG00000020258,47.0026
ENSMMUG00000002512,ENSPPYG00000017925,49.5193
ENSMMUG00000002512,ENSPPYG00000018815,48.8654
ENSMMUG00000002512,ENSPPYG00000018815,49.2172
ENSMMUG00000002512,ENSPPYG00000020170,49.2941
ENSMMUG00000006800,ENSPPYG00000020162,48.8106
ENSMMUG00000021992,ENSPPYG00000018495,48.8304
ENSMMUG00000021855,ENSPPYG00000019962,49.3082
ENSMMUG00000021853,ENSPPYG00000018809,48.547
ENSMMUG00000023284,ENSPPYG00000017933,49.3867
ENSMMUG00000023284,ENSPPYG00000019247,46.9697
ENSMMUG00000023281,ENSPPYG00000017792,48.8017
ENSMMUG00000021125,ENSPPYG00000017903,49.0827
ENSMMUG00000021125,ENSPPYG00000017995,49.3939
ENSMMUG00000032572,ENSPPYG00000019822,38.0509
ENSMMUG00000021126,ENSPPYG00000019988,47.3389
ENSMMUG00000021126,ENSPPYG00000020358,47.7612
ENSMMUG00000014935,ENSPPYG00000019471,47.8865
ENSMMUG00000014935,ENSPPYG00000019459,47.2849
ENSMMUG00000014935,ENSPPYG00000019459,46.5134
ENSMMUG00000023726,ENSPPYG00000018669,48.4556
ENSMMUG00000023726,ENSPPYG00000019990,39.9449
ENSMMUG00000023726,ENSPPYG00000019990,39.6957
ENSMMUG00000023726,ENSPPYG00000019990,38.8889
ENSMMUG00000004221,ENSPPYG00000018815,49.2771
ENSMMUG00000019059,ENSPPYG00000020852,48.5992
ENSMMUG00000019061,ENSPPYG00000017903,49.7615
ENSMMUG00000019061,ENSPPYG00000020240,49.423
ENSMMUG00000019062,ENSPPYG00000019247,47.6152
ENSMMUG00000032571,ENSPPYG00000019003,48.7805
ENSMMUG00000011466,ENSPPYG00000019674,48.6603
ENSMMUG00000011466,ENSPPYG00000019311,42.9571
ENSMMUG00000011467,ENSPPYG00000020154,49.612
ENSMMUG00000011467,ENSPPYG00000020082,49.2095
ENSMMUG00000011467,ENSPPYG00000020543,49.4649
ENSMMUG00000011467,ENSPPYG00000019247,48.6209
ENSMMUG00000011467,ENSPPYG00000020543,49.4636
ENSMMUG00000023179,ENSPPYG00000017575,45.478
ENSMMUG00000010471,ENSPPYG00000019922,48.4185
ENSMMUG00000010471,ENSPPYG00000019988,47.5163
ENSMMUG00000010471,ENSPPYG00000019994,49.0281
ENSMMUG00000000682,ENSPPYG00000019247,48.0303
ENSMMUG00000000682,ENSPPYG00000019247,47.897
ENSMMUG00000011772,ENSPPYG00000020870,49.4664
ENSMMUG00000015014,ENSPPYG00000019247,47.549
ENSMMUG00000015014,ENSPPYG00000019247,47.8906
ENSMMUG00000015013,ENSPPYG00000019730,48.6373
ENSMMUG00000005692,ENSPPYG00000018759,48.1086
ENSMMUG00000000551,ENSPPYG00000020370,48.6166
ENSMMUG00000019525,ENSPPYG00000019227,48.8467
ENSMMUG00000019525,ENSPPYG00000017627,47.3868
ENSMMUG00000019521,ENSPPYG00000020222,49.6323
ENSMMUG00000019521,ENSPPYG00000017849,49.4446
ENSMMUG00000010726,ENSPPYG00000017530,48.3158
ENSMMUG00000022097,ENSPPYG00000020491,48.5676
ENSMMUG00000022097,ENSPPYG00000020491,48.5407
ENSMMUG00000022097,ENSPPYG00000018567,47.6063
ENSMMUG00000022095,ENSPPYG00000017927,49.1726
ENSMMUG00000022095,ENSPPYG00000018647,47.7004
ENSMMUG00000022130,ENSPPYG00000020462,37.3333
ENSMMUG00000015761,ENSPPYG00000020428,48.7348
ENSMMUG00000032568,ENSPPYG00000020737,47.8114
ENSMMUG00000003993,ENSPPYG00000020176,48.8235
ENSMMUG00000000768,ENSPPYG00000019257,49.1441
ENSMMUG00000000890,ENSPPYG00000019053,17.2749
ENSMMUG00000011408,ENSPPYG00000017436,48.5944
ENSMMUG00000011404,ENSPPYG00000020330,49.0558
ENSMMUG00000011404,ENSPPYG00000019107,48.2866
ENSMMUG00000014506,ENSPPYG00000019471,48.6339
ENSMMUG00000014506,ENSPPYG00000019247,48.5185
ENSMMUG00000000212,ENSPPYG00000018671,45.1477
ENSMMUG00000016302,ENSPPYG00000018815,49.3656
ENSMMUG00000016302,ENSPPYG00000020553,49.3338
ENSMMUG00000032565,ENSPPYG00000020052,48.9022
ENSMMUG00000021463,ENSPPYG00000018225,29.4498
ENSMMUG00000019418,ENSPPYG00000018773,49.337
ENSMMUG00000019418,ENSPPYG00000019455,49.752
ENSMMUG00000022005,ENSPPYG00000017639,49.3671
ENSMMUG00000001471,ENSPPYG00000018305,39.8773
ENSMMUG00000001471,ENSPPYG00000017400,48.4343
ENSMMUG00000005086,ENSPPYG00000019259,49.6951
ENSMMUG00000005086,ENSPPYG00000018587,49.2524
ENSMMUG00000005086,ENSPPYG00000019247,48.202
ENSMMUG00000005086,ENSPPYG00000019247,49.1407
ENSMMUG00000013752,ENSPPYG00000020180,48.9164
ENSMMUG00000019893,ENSPPYG00000020190,49.0658
ENSMMUG00000019893,ENSPPYG00000019515,48.7751
ENSMMUG00000019892,ENSPPYG00000019057,49.58
ENSMMUG00000019892,ENSPPYG00000019057,49.5713
ENSMMUG00000019892,ENSPPYG00000019455,49.2695
ENSMMUG00000017548,ENSPPYG00000020428,49.6552
ENSMMUG00000017546,ENSPPYG00000019832,49.1677
ENSMMUG00000017546,ENSPPYG00000018921,48.2566
ENSMMUG00000005461,ENSPPYG00000018873,48.9136
ENSMMUG00000005461,ENSPPYG00000019283,48.9019
ENSMMUG00000005175,ENSPPYG00000019960,48.7242
ENSMMUG00000018952,ENSPPYG00000019159,47.5479
ENSMMUG00000018950,ENSPPYG00000019247,47.8439
ENSMMUG00000018950,ENSPPYG00000018625,48.7437
ENSMMUG00000013904,ENSPPYG00000018225,32.3432
ENSMMUG00000021265,ENSPPYG00000019237,47.6744
ENSMMUG00000021265,ENSPPYG00000020687,47.7876
ENSMMUG00000016216,ENSPPYG00000018833,47.5655
ENSMMUG00000004054,ENSPPYG00000018823,48.6176
ENSMMUG00000004051,ENSPPYG00000019247,46.9225
ENSMMUG00000004051,ENSPPYG00000018317,47.5
ENSMMUG00000004051,ENSPPYG00000020641,48.5826
ENSMMUG00000004046,ENSPPYG00000019247,48.0851
ENSMMUG00000004046,ENSPPYG00000019704,49.2395
ENSMMUG00000004046,ENSPPYG00000019525,47.7633
ENSMMUG00000004045,ENSPPYG00000020609,47.9587
ENSMMUG00000004045,ENSPPYG00000019265,48.1567
ENSMMUG00000004045,ENSPPYG00000019247,47.5687
ENSMMUG00000012130,ENSPPYG00000017450,47.0135
ENSMMUG00000004663,ENSPPYG00000018635,49.3179
ENSMMUG00000004662,ENSPPYG00000017535,48.5932
ENSMMUG00000004660,ENSPPYG00000018292,47.8815
ENSMMUG00000004660,ENSPPYG00000019247,47.3493
ENSMMUG00000004656,ENSPPYG00000018711,47.6838
ENSMMUG00000004658,ENSPPYG00000018317,48
ENSMMUG00000003974,ENSPPYG00000017903,49.3342
ENSMMUG00000003974,ENSPPYG00000020631,49.1761
ENSMMUG00000003974,ENSPPYG00000019549,48.1863
ENSMMUG00000009164,ENSPPYG00000017539,48.4685
ENSMMUG00000008305,ENSPPYG00000018771,48.5671
ENSMMUG00000012987,ENSPPYG00000018815,48.6526
ENSMMUG00000012987,ENSPPYG00000018815,48.8487
ENSMMUG00000003992,ENSPPYG00000020090,48.6254
ENSMMUG00000004382,ENSPPYG00000019265,47.5213
ENSMMUG00000004382,ENSPPYG00000019265,47.9075
ENSMMUG00000007695,ENSPPYG00000017853,26.0935
ENSMMUG00000010227,ENSPPYG00000017776,48.6925
ENSMMUG00000032561,ENSPPYG00000018225,31
ENSMMUG00000010944,ENSPPYG00000020258,46.7452
ENSMMUG00000001477,ENSPPYG00000018619,50.2283
ENSMMUG00000009669,ENSPPYG00000020302,48.517
ENSMMUG00000012715,ENSPPYG00000019159,48.0397
ENSMMUG00000005125,ENSPPYG00000019449,48.4925
ENSMMUG00000032559,ENSPPYG00000019217,48.6911
ENSMMUG00000032558,ENSPPYG00000017923,49.4949
ENSMMUG00000021478,ENSPPYG00000019962,46.3715
ENSMMUG00000021480,ENSPPYG00000018357,49.2472
