pongo_abelii,gorilla_gorilla
23533,27473,2000
ENSPPYG00000020939,ENSGGOG00000021989,48.8095
ENSPPYG00000020937,ENSGGOG00000027918,48.5876
ENSPPYG00000020935,ENSGGOG00000023965,48.1209
ENSPPYG00000020933,ENSGGOG00000021980,46.7262
ENSPPYG00000020932,ENSGGOG00000014627,48.9712
ENSPPYG00000020930,ENSGGOG00000027817,47.9167
ENSPPYG00000020928,ENSGGOG00000015834,49.2218
ENSPPYG00000020926,ENSGGOG00000003704,47.5066
ENSPPYG00000020924,ENSGGOG00000028368,47.0899
ENSPPYG00000020922,ENSGGOG00000014404,41.4815
ENSPPYG00000020920,ENSGGOG00000026075,48.3871
ENSPPYG00000020920,ENSGGOG00000006798,48.8889
ENSPPYG00000020918,ENSGGOG00000009780,48.4666
ENSPPYG00000020916,ENSGGOG00000027041,22.2222
ENSPPYG00000020914,ENSGGOG00000027041,17.5141
ENSPPYG00000020912,ENSGGOG00000003752,48.4127
ENSPPYG00000020910,ENSGGOG00000006271,48.1231
ENSPPYG00000020908,ENSGGOG00000022284,36.1905
ENSPPYG00000020906,ENSGGOG00000011543,48.6953
ENSPPYG00000020904,ENSGGOG00000006384,48.4848
ENSPPYG00000020902,ENSGGOG00000015649,48.4347
ENSPPYG00000020900,ENSGGOG00000026036,49.1217
ENSPPYG00000020898,ENSGGOG00000008039,48.8648
ENSPPYG00000020896,ENSGGOG00000016003,51.6129
ENSPPYG00000020894,ENSGGOG00000022473,46.6667
ENSPPYG00000020892,ENSGGOG00000007836,49.1159
ENSPPYG00000020890,ENSGGOG00000016464,44.5672
ENSPPYG00000020888,ENSGGOG00000025267,45.488
ENSPPYG00000020886,ENSGGOG00000027138,46.4286
ENSPPYG00000020884,ENSGGOG00000001083,47.4576
ENSPPYG00000020884,ENSGGOG00000008319,46.8847
ENSPPYG00000020882,ENSGGOG00000014406,48.6009
ENSPPYG00000020882,ENSGGOG00000022995,45.2525
ENSPPYG00000020880,ENSGGOG00000013493,27.0394
ENSPPYG00000020878,ENSGGOG00000015635,48.3146
ENSPPYG00000020876,ENSGGOG00000005923,48.2036
ENSPPYG00000020876,ENSGGOG00000024050,47.4403
ENSPPYG00000020876,ENSGGOG00000027730,48.9451
ENSPPYG00000020874,ENSGGOG00000001100,13.7519
ENSPPYG00000020874,ENSGGOG00000001100,14.0097
ENSPPYG00000020870,ENSGGOG00000028132,48.0672
ENSPPYG00000020868,ENSGGOG00000008319,47.5783
ENSPPYG00000020866,ENSGGOG00000011493,49.0982
ENSPPYG00000020866,ENSGGOG00000001305,49.0075
ENSPPYG00000020864,ENSGGOG00000003704,45.9288
ENSPPYG00000020862,ENSGGOG00000023870,47.2609
ENSPPYG00000020860,ENSGGOG00000007706,46.9751
ENSPPYG00000020858,ENSGGOG00000023813,48.2812
ENSPPYG00000020858,ENSGGOG00000000082,48.4197
ENSPPYG00000020858,ENSGGOG00000000082,48.3811
ENSPPYG00000020856,ENSGGOG00000002469,47.081
ENSPPYG00000020856,ENSGGOG00000006703,47.5096
ENSPPYG00000020854,ENSGGOG00000010019,47.3839
ENSPPYG00000020852,ENSGGOG00000014343,46.0853
ENSPPYG00000020850,ENSGGOG00000009018,47.9503
ENSPPYG00000020850,ENSGGOG00000022086,47.8562
ENSPPYG00000020848,ENSGGOG00000028587,47.3206
ENSPPYG00000020846,ENSGGOG00000023342,47.4153
ENSPPYG00000020844,ENSGGOG00000001891,47.9106
ENSPPYG00000020842,ENSGGOG00000003704,45.5696
ENSPPYG00000020840,ENSGGOG00000006159,46.8064
ENSPPYG00000020838,ENSGGOG00000027640,8.27423
ENSPPYG00000020836,ENSGGOG00000013812,2.5
ENSPPYG00000020834,ENSGGOG00000022623,48.6407
ENSPPYG00000020832,ENSGGOG00000026178,47.7477
ENSPPYG00000020830,ENSGGOG00000022284,37.2487
ENSPPYG00000020828,ENSGGOG00000012302,48.952
ENSPPYG00000020825,ENSGGOG00000022284,35.6394
ENSPPYG00000020823,ENSGGOG00000006703,47.4638
ENSPPYG00000020821,ENSGGOG00000012288,48.8803
ENSPPYG00000020819,ENSGGOG00000000224,47.5427
ENSPPYG00000020817,ENSGGOG00000008892,49.3402
ENSPPYG00000020817,ENSGGOG00000028054,49.5095
ENSPPYG00000020815,ENSGGOG00000009780,48.8449
ENSPPYG00000020815,ENSGGOG00000009780,48.8411
ENSPPYG00000020813,ENSGGOG00000024005,47.8431
ENSPPYG00000020811,ENSGGOG00000022284,35.9539
ENSPPYG00000020809,ENSGGOG00000027854,19.7531
ENSPPYG00000020803,ENSGGOG00000007410,47.6471
ENSPPYG00000020801,ENSGGOG00000013016,49.0323
ENSPPYG00000020799,ENSGGOG00000025067,49.3056
ENSPPYG00000020797,ENSGGOG00000022136,48.1481
ENSPPYG00000020797,ENSGGOG00000022136,47.9413
ENSPPYG00000020795,ENSGGOG00000024834,47.2025
ENSPPYG00000020793,ENSGGOG00000024014,48.5839
ENSPPYG00000020791,ENSGGOG00000014627,45.8599
ENSPPYG00000020789,ENSGGOG00000026988,49.5726
ENSPPYG00000020783,ENSGGOG00000028217,47.0803
ENSPPYG00000020781,ENSGGOG00000008196,48.632
ENSPPYG00000020779,ENSGGOG00000003519,48.2684
ENSPPYG00000020779,ENSGGOG00000011084,47.3795
ENSPPYG00000020777,ENSGGOG00000023218,48.9887
ENSPPYG00000020775,ENSGGOG00000001257,49.156
ENSPPYG00000020773,ENSGGOG00000005255,1.70604
ENSPPYG00000020771,ENSGGOG00000025055,49.55
ENSPPYG00000020769,ENSGGOG00000011379,49.6252
ENSPPYG00000020767,ENSGGOG00000003752,47.3684
ENSPPYG00000020765,ENSGGOG00000000360,49.16
ENSPPYG00000020765,ENSGGOG00000000360,49.2233
ENSPPYG00000020763,ENSGGOG00000010097,49.5756
ENSPPYG00000020763,ENSGGOG00000010082,49.6084
ENSPPYG00000020761,ENSGGOG00000027478,48.9814
ENSPPYG00000020761,ENSGGOG00000027478,49.0591
ENSPPYG00000020761,ENSGGOG00000027478,48.8493
ENSPPYG00000020759,ENSGGOG00000002467,49.3109
ENSPPYG00000020759,ENSGGOG00000002467,48.881
ENSPPYG00000020757,ENSGGOG00000022699,48.9284
ENSPPYG00000020755,ENSGGOG00000012315,49.0585
ENSPPYG00000020753,ENSGGOG00000022427,48.7476
ENSPPYG00000020751,ENSGGOG00000010314,46.2462
