gorilla_gorilla,pan_troglodytes
27473,19384,2000
ENSGGOG00000026262,ENSPTRG00000042077,47.9616
ENSGGOG00000027893,ENSPTRG00000004015,45.6865
ENSGGOG00000009486,ENSPTRG00000031045,48.0497
ENSGGOG00000023986,ENSPTRG00000014157,46.9534
ENSGGOG00000025775,ENSPTRG00000041916,50.2825
ENSGGOG00000022293,ENSPTRG00000019953,50.9259
ENSGGOG00000027653,ENSPTRG00000042077,47.9167
ENSGGOG00000027804,ENSPTRG00000041259,51.5152
ENSGGOG00000023282,ENSPTRG00000003184,48.0667
ENSGGOG00000013094,ENSPTRG00000041916,48.5876
ENSGGOG00000012194,ENSPTRG00000040941,49.6454
ENSGGOG00000028583,ENSPTRG00000007626,43.1159
ENSGGOG00000027005,ENSPTRG00000009849,48.9308
ENSGGOG00000023779,ENSPTRG00000021835,48.2496
ENSGGOG00000028121,ENSPTRG00000031314,48.2456
ENSGGOG00000023233,ENSPTRG00000003320,45.4829
ENSGGOG00000026005,ENSPTRG00000020082,49.0925
ENSGGOG00000001305,ENSPTRG00000042326,48.0803
ENSGGOG00000023866,ENSPTRG00000028817,50.214
ENSGGOG00000026410,ENSPTRG00000003320,43.9539
ENSGGOG00000022055,ENSPTRG00000003320,46.1951
ENSGGOG00000000052,ENSPTRG00000028745,47.8505
ENSGGOG00000026663,ENSPTRG00000013886,49.385
ENSGGOG00000025745,ENSPTRG00000023120,49.9675
ENSGGOG00000005680,ENSPTRG00000033843,47.3463
ENSGGOG00000022327,ENSPTRG00000040297,49.1484
ENSGGOG00000009969,ENSPTRG00000003123,48.6326
ENSGGOG00000002291,ENSPTRG00000039081,49.3113
ENSGGOG00000022771,ENSPTRG00000005670,49.0842
ENSGGOG00000023040,ENSPTRG00000003320,43.5979
ENSGGOG00000023889,ENSPTRG00000005670,48.7179
ENSGGOG00000023628,ENSPTRG00000007686,44.52
ENSGGOG00000010021,ENSPTRG00000003320,43.1746
ENSGGOG00000024019,ENSPTRG00000004552,49.3228
ENSGGOG00000010600,ENSPTRG00000034369,47.6886
ENSGGOG00000006560,ENSPTRG00000028728,45.4153
ENSGGOG00000013541,ENSPTRG00000003400,48.7332
ENSGGOG00000004227,ENSPTRG00000028728,45.4839
ENSGGOG00000001922,ENSPTRG00000040941,51.0204
ENSGGOG00000027910,ENSPTRG00000005728,1.86335
ENSGGOG00000024350,ENSPTRG00000003245,49.1639
ENSGGOG00000012977,ENSPTRG00000031042,46.6667
ENSGGOG00000010748,ENSPTRG00000000207,47.4907
ENSGGOG00000023122,ENSPTRG00000013839,47.4074
ENSGGOG00000008684,ENSPTRG00000030816,49.4845
ENSGGOG00000003214,ENSPTRG00000003320,44.9644
ENSGGOG00000002017,ENSPTRG00000013870,49.5385
ENSGGOG00000027094,ENSPTRG00000005670,47.9167
ENSGGOG00000003839,ENSPTRG00000003320,44.9686
ENSGGOG00000000247,ENSPTRG00000019135,48.4127
ENSGGOG00000013412,ENSPTRG00000042362,49.0196
ENSGGOG00000024115,ENSPTRG00000003320,44.4444
ENSGGOG00000009907,ENSPTRG00000000239,48.1315
ENSGGOG00000025049,ENSPTRG00000018964,48.6136
ENSGGOG00000023747,ENSPTRG00000003182,48.1481
ENSGGOG00000007560,ENSPTRG00000028817,48.3826
ENSGGOG00000003752,ENSPTRG00000028611,49.4949
ENSGGOG00000027719,ENSPTRG00000005783,50.463
ENSGGOG00000028529,ENSPTRG00000021728,47.9319
ENSGGOG00000026041,ENSPTRG00000041367,48.3333
ENSGGOG00000010369,ENSPTRG00000003184,47.0273
ENSGGOG00000006464,ENSPTRG00000016748,49.8582
ENSGGOG00000006566,ENSPTRG00000013809,48.4702
ENSGGOG00000027049,ENSPTRG00000040155,49.6296
ENSGGOG00000005030,ENSPTRG00000032577,51.3333
ENSGGOG00000025614,ENSPTRG00000003121,48.9262
ENSGGOG00000010080,ENSPTRG00000022501,49.2424
ENSGGOG00000004029,ENSPTRG00000019962,50.3759
ENSGGOG00000000720,ENSPTRG00000000239,47.7093
ENSGGOG00000015011,ENSPTRG00000028728,48.6486
ENSGGOG00000004849,ENSPTRG00000016726,48.8889
ENSGGOG00000022513,ENSPTRG00000004015,46.3719
ENSGGOG00000023229,ENSPTRG00000030817,49.1379
ENSGGOG00000027052,ENSPTRG00000041259,57.6923
ENSGGOG00000024200,ENSPTRG00000017066,49.1294
ENSGGOG00000027513,ENSPTRG00000016949,49.4253
ENSGGOG00000023163,ENSPTRG00000009883,49.0196
ENSGGOG00000027224,ENSPTRG00000039305,55.0725
ENSGGOG00000023802,ENSPTRG00000041259,60
ENSGGOG00000024978,ENSPTRG00000004015,47.578
ENSGGOG00000023191,ENSPTRG00000013791,49.1519
ENSGGOG00000028309,ENSPTRG00000040155,47.7912
ENSGGOG00000025976,ENSPTRG00000022785,47.8788
ENSGGOG00000008985,ENSPTRG00000003249,48.3421
ENSGGOG00000008066,ENSPTRG00000042298,48.3796
ENSGGOG00000003934,ENSPTRG00000028611,46.7262
ENSGGOG00000027008,ENSPTRG00000013918,49.4152
ENSGGOG00000023130,ENSPTRG00000028731,49.5495
ENSGGOG00000026823,ENSPTRG00000032577,48.2759
ENSGGOG00000002363,ENSPTRG00000033843,47.5256
ENSGGOG00000008587,ENSPTRG00000023120,49.1972
ENSGGOG00000007706,ENSPTRG00000003154,46.4706
ENSGGOG00000026808,ENSPTRG00000003184,46.7463
ENSGGOG00000026720,ENSPTRG00000013918,49.7076
ENSGGOG00000023195,ENSPTRG00000041011,48.374
ENSGGOG00000023483,ENSPTRG00000005670,48.8372
ENSGGOG00000006159,ENSPTRG00000019135,49.5292
ENSGGOG00000028272,ENSPTRG00000005845,48.4401
ENSGGOG00000025805,ENSPTRG00000003141,47.9204
ENSGGOG00000028260,ENSPTRG00000013918,49.8168
ENSGGOG00000027536,ENSPTRG00000041367,46.7836
ENSGGOG00000024660,ENSPTRG00000000041,48.0938
ENSGGOG00000026261,ENSPTRG00000028731,49.5495
ENSGGOG00000023583,ENSPTRG00000003320,43.1183
ENSGGOG00000024057,ENSPTRG00000039826,42.4883
ENSGGOG00000026794,ENSPTRG00000023556,48.5714
ENSGGOG00000002340,ENSPTRG00000042077,49.1228
ENSGGOG00000027730,ENSPTRG00000041491,48.2051
ENSGGOG00000006116,ENSPTRG00000022836,47.7528
ENSGGOG00000014428,ENSPTRG00000003174,46.3696
ENSGGOG00000025651,ENSPTRG00000033976,54.8148
ENSGGOG00000027010,ENSPTRG00000007626,48.7179
ENSGGOG00000024315,ENSPTRG00000003184,48.2737
ENSGGOG00000016094,ENSPTRG00000007589,48.9177
ENSGGOG00000022407,ENSPTRG00000014062,46.2287
ENSGGOG00000025778,ENSPTRG00000042298,49.6855
ENSGGOG00000023141,ENSPTRG00000040750,47.4359
ENSGGOG00000005185,ENSPTRG00000005857,48.5039
ENSGGOG00000028018,ENSPTRG00000041011,49.3506
ENSGGOG00000027785,ENSPTRG00000007628,46.4242
ENSGGOG00000022572,ENSPTRG00000005710,47.482
ENSGGOG00000016327,ENSPTRG00000021728,47.8964
ENSGGOG00000023005,ENSPTRG00000028773,46.4135
ENSGGOG00000011794,ENSPTRG00000014062,48.3871
ENSGGOG00000023773,ENSPTRG00000031327,48.0929
ENSGGOG00000014762,ENSPTRG00000003184,46.9993
ENSGGOG00000002702,ENSPTRG00000013918,47.7528
ENSGGOG00000022868,ENSPTRG00000039292,48.2456
ENSGGOG00000026391,ENSPTRG00000019953,45.098
ENSGGOG00000014359,ENSPTRG00000003320,45.5232
ENSGGOG00000028166,ENSPTRG00000003379,49.6774
ENSGGOG00000025700,ENSPTRG00000014065,46.9435
ENSGGOG00000027649,ENSPTRG00000040862,47.8261
ENSGGOG00000023415,ENSPTRG00000003320,46.8992
ENSGGOG00000025253,ENSPTRG00000003320,46.5389
ENSGGOG00000012044,ENSPTRG00000013897,48.7778
ENSGGOG00000024194,ENSPTRG00000034337,47.9393
ENSGGOG00000002506,ENSPTRG00000028728,47.2131
ENSGGOG00000024783,ENSPTRG00000017066,49.4975
ENSGGOG00000025602,ENSPTRG00000029512,48.2906
ENSGGOG00000025806,ENSPTRG00000003320,44.9367
ENSGGOG00000006645,ENSPTRG00000034337,49.0323
